职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
高德销服科技-KA直客业务拓展（美妆/奢侈品）-上海,,高德销服科技-高德销服科技,中国-上海-上海,本科,三年以上,ALS-P7,"1. 根据公司发展战略和分解目标，面向美妆、奢侈品等行业进行业务拓展，承担并完成公司业绩指标；
2. 以商业产品和解决售卖为核心，具有产品型商务的综合能力，能够独立开发新客户，以客户交付和销售业绩为目标导向，制定完善的商务策略；深入理解行业需求并持续挖掘不同KA客户的诉求，结合高德的平台特性、场景和产品优势，输出有效的整合营销方案，并推动商业落地。
3. 开拓并维系业内TOP的客户和合作伙伴，能够与客户中高层对话，独立完成商务谈判、合同签订工作。
4. 与公司内部各部门配合，做好客户的售中售后维护，及时处理客户反馈和结案支持，协同产品、运营、BI等内部团队，确保客户满意度。
5. 建立并维护良好的客情，促进客户与代理公司在高德侧的深度合作，持续共创生态价值，并获得商业化成果。
6. 挖掘自身潜力，收集市场信息，从行业和一线视角出发，对现有商业产品提出改进建议。","1. 3年以上大客户商务合作或KA客户销售推广经验，有明确行业客户资源。
2. 有良好的自驱力，热爱销售工作，善于挑战，有强烈的成功欲。
3. 能够将公司的理念和产品传递和赋能给客户并建立合作，能够承受较大的工作压力，并适应相对频繁的出差。
4. 有创新意识并有较强资源整合能力。",2,张荣(静琳),,2026 - 02 - 09,2026 - 04 - 29,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260209a0094bd8021f4e4ea45a5dc6bad9e6c6&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德销服科技-KA直客业务拓展（零售领域）-北京,,高德销服科技-高德销服科技,中国-北京-北京,本科,三年以上,ALS-P8,"1. 根据公司发展战略和分解目标，面向快消日化，美妆奢品，3C数码、通信运营商等行业进行业务拓展，承担并完成公司业绩指标；
2. 以商业产品和解决售卖为核心，具有产品型商务的综合能力，能够独立开发新客户，以客户交付和销售业绩为目标导向，制定完善的商务策略；深入理解行业需求并持续挖掘不同KA客户的诉求，结合高德的平台特性、场景和产品优势，输出有效的整合营销方案，并推动商业落地。
3. 开拓并维系业内TOP的客户和合作伙伴，能够与客户中高层对话，独立完成商务谈判、合同签订工作。
4. 与公司内部各部门配合，做好客户的售中售后维护，及时处理客户反馈和结案支持，协同产品、运营、BI等内部团队，确保客户满意度。
5. 建立并维护良好的客情，促进客户与代理公司在高德侧的深度合作，持续共创生态价值，并获得商业化成果。
6. 挖掘自身潜力，收集市场信息，从行业和一线视角出发，对现有商业产品提出改进建议。","1. 3年以上大客户商务合作或KA客户销售推广经验，有明确行业客户资源。
2. 有良好的自驱力，热爱销售工作，善于挑战，有强烈的成功欲。
3. 能够将公司的理念和产品传递和赋能给客户并建立合作，能够承受较大的工作压力，并适应相对频繁的出差。
4. 有创新意识并有较强资源整合能力。",3,张荣(静琳),,2026 - 02 - 09,2026 - 04 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026020984e5287ff5444c2c86237f6b49afc3ff&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
平头哥-数字电路版图设计专家-上海,,阿里集团-平头哥,中国-上海-上海,本科,三年以上,P6,"1.负责独立完成标准单元电路包括逻辑门和触发器电路的版图设计。
2.配合电路工程师完成Memory的子模块和顶层的布局布线和版图设计。
3.根据foundry提供的design rule完成DRC/LVS/DFM等检查。
4.优化版图减少寄生RC，并完成EMIR的修改。","1.微电子、计算机、电子工程及相关专业本科以上学历。
2.三年以上版图设计经验，熟悉CMOS工艺制程。
3.熟悉Cadence，Synopsys、Mentor等主流版图设计工具。
4.有Finfet和先进工艺相关版图经验的优先。
5.工作认真负责、有较强的上进心，具备良好的团队精神及沟通能力。",3,姚梦舸,,2026 - 02 - 09,2026 - 04 - 21,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602091afc985a8c4d4f91b3dd3f069a9f1972&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
业务技术-AI Agent基建开发工程师-供给智能,,淘天集团-业务技术,中国-浙江-杭州,本科,二年以上,P6,"关于我们
我们在淘天内部打造面向 AI Agent 的工程基础设施：让不同业务团队可以在统一平台上完成 Agent构建→ 数据采集 → 训练/对齐 → 评测 → 发布 → 线上监控与迭代 的全生命周期闭环，真正做到“平台即生产力”。我们希望把 Agent 的研发从“手工作坊”升级为“工业化流水线”，让创新更快发生、让落地更稳定可控。

你将获得什么
● 做业内稀缺的 Agent 工程化底座：从上下文管理、工具编排、数据闭环、训练评测一体化到线上治理，搭建可规模化复用的平台能力。
● 多团队、多方向的真实落地：平台会被内部多个团队复用，你做的每个能力都能在不同业务里验证价值，影响面广、成长快。
● 工程技术的纵深挑战：既要懂模型与 Agent 范式，也要懂系统工程（稳定性、成本、效率、可观测性、安全治理），是“硬核工程”的最佳战场。
● 清晰的发展路径：成长为 Agent 平台架构师 / 技术负责人 / AI 工程化专家，推动团队方法论与关键能力组件化在公司内部平台化沉淀与规模化复用，提升多业务线研发效率与交付质量。

岗位职责
1、构建 AI Agent 工程基础设施，设计并实现覆盖Agent构建、数据采集、模型训练、评测、发布、优化迭代的全生命周期工程体系；
2、推动 Agent 基建智能化场景的工程落地，提升大模型在自主规划、RAG 增强生成、智能数据标注与采集、训练自动化等方面的能力；
3、跟踪 LLM与Agent 领域的国际前沿技术动态，推动工程技术创新落地，支持复杂任务规划、多模态交互等能力的工程实现；
4、构建端到端的 Agent 评测与自动化工具链，提升 Agent 系统性能与效率，打造业内领先的 AI Agent 技术方案，并支持内部多业务团队在平台上自主开发与落地。","1、计算机科学、人工智能、软件工程或相关专业本科及以上学历；
2、熟练掌握 Java/Python 等编程语言，具备扎实的数据结构、数据库、操作系统、计算机网络等基础理论知识，以及较强的学习能力；
3、熟悉SpringBoot、Mybatis等常用开发框架，熟悉缓存、消息队列等开源中间件；
4、关注 AI 工程化前沿技术，热衷技术探索与创新实践，擅长通过技术解决实际问题；
5、具备 AI 工程化实战经验，熟悉ADK、 LangChain等 Agent 开发框架，掌握Prompt调优、Context Engineering等关键技术，有完整智能体系统搭建经验者优先。",1,楼婧萱(晚宜),,2026 - 02 - 05,2026 - 05 - 04,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602056c7618ba5b0e44af901a2a64b86d2314&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
集团安全部-内容安全大模型算法专家-杭州,,阿里集团-阿里控股,中国-浙江-杭州,硕士,二年以上,P7,"1. 负责内容安全领域的大模型算法研发与落地，构建面向国际及国内多场景（如商品审核、社区内容、广告等）的智能识别与风险防控体系；
2. 设计并实现基于大模型的自动化审核系统，提升审核效率与准确率，支持高并发、低延迟的在线服务；
3. 负责商品治理领域的风险防控算法研发与落地，面向数十亿级商品库，构建覆盖假货、侵权、山寨、劣质、滥发等核心场景的智能识别体系，通过大模型驱动的内容理解、行为建模与知识推理技术，提升风险识别准确率与自动化处置能力，保障消费者购物体验与权利人平台权益，支撑电商生态健康可持续发展；
4. 探索大模型在内容理解、行为建模、团伙识别、跨语言语义分析等方向的应用，推动从传统规则/小模型向知识驱动AGI范式的演进；
5. 构建可解释、可迭代的知识生产闭环，支撑风险感知、策略生成与防控标准动态更新；
6. 参与大模型训练、微调、推理优化及部署全流程，提升模型在真实业务中的泛化能力与稳定性。","学历背景：计算机、数学、统计学或相关专业硕士及以上学历，具备扎实的理论基础；
编程能力：熟练掌握 Python / Java / C++ 中至少一门语言，具备优秀的数据结构与算法功底；
机器学习基础：熟悉主流机器学习算法（如分类、聚类、序列模型、图神经网络等），了解深度学习框架（如 PyTorch、TensorFlow）；
大模型经验：有大模型（LLM）在自然语言处理、内容理解、文本分类、异常检测等场景的实际应用经验者优先；
研究能力：具备优秀的分析与问题解决能力，熟悉数据挖掘、机器学习、信息检索、NLP、推荐系统、计算广告等领域，有相关研究成果者优先；
学术成果：在 SIGIR、SIGKDD、ICML、NeurIPS、WSDM、WWW、AAAI、CIKM、ACL、RecSys 等国际顶级会议或期刊发表过论文者优先；
竞赛经历：参加过 ACM、Kaggle、天池等数据挖掘或机器学习竞赛并取得优异成绩者优先；
开源贡献：参与过知名机器学习或大模型开源项目，并有显著贡献者优先；
沟通协作：具备良好的团队协作与跨部门沟通能力，能够独立承担复杂算法任务并推动落地。
加分项：
有内容安全、反作弊、虚假信息识别、舆论监测等相关项目经验；
熟悉强化学习、博弈论在安全对抗场景中的应用；
具备国别化审核、多语言理解、跨平台内容治理经验者优先；
对“大小模型协同”、“知识驱动AGI”、“自动化决策闭环”等前沿范式有深入理解。
我们提供：
参与行业领先的内容安全大模型体系建设；
面向全球监管合规与复杂业务场景的技术挑战；
强大的技术团队支持与资源投入，助力算法成果快速落地；
明确的职业发展路径与技术成长空间。",7,江燕(瑾乔),,2026 - 02 - 24,2026 - 04 - 28,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260205dfbc3be0adbf4b2fa27ae6b73ac2c606&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里妈妈-工程高招通道-北京/杭州,,淘天集团-阿里妈妈,"中国-北京-北京,中国-浙江-杭州",硕士,八年以上,P8,,,1,楼朗见(琴敌),,2026 - 02 - 04,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260204fcc1fd84e82e4dc4b6c7a7f881e30aa9&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-线下零售商品规划-杭州/广州,,阿里健康-健康自营事业部,"中国-浙江-杭州,中国-广东-广州",本科,五年以上,JK-I5,"1、根据公司发展战略，依据线下药品零售目标迭代药品品类规划；
2、建立集采&地采药品目录，高效整合药品货盘，进一步提升采运协同完成协议续签；
3、制定控制采购成本的策略，负责年度框架的制定，保证利益最大化；
4、负责协调类目在供应链端的管控政策。","1、全日制本科及以上学历，5年以上医药行业相关采购及管理工作经验；
2、有药品渠道及品牌方资源，具备良好的市场敏锐度、开拓能力与谈判沟通能力；
3、具备较强的横向协同能力，有大型电商系统大数据分析经验者优先考虑。",1,鲁天天(天阿),,2026 - 02 - 24,2026 - 05 - 24,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260204594a0db186bd418aafc19f477a6bece4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-大模型数据平台专家 / 架构师- (AI Data Infrastructure),,阿里集团-钉钉,中国-浙江-杭州,本科,五年以上,P7,"1、团队愿景：在大模型进入深水区的今天，真正拉开差距的，不再只是模型结构，而是数据的质量、成本与评测方法。
我们对标 Scale AI，正在建设主权模型时代的 AI 数据基础设施：以最低的总体成本，持续为模型训练与迭代提供最高质量的数据、数据配方与评测体系。
在这里，你将参与决定用什么样的数据能真正塑造模型能力，把分散、复杂、真实的业务数据，转化为可 规模、可验证、可复用的模型竞争力，参与定义 AI 时代最底层、也最关键的基础设施。
2、 主导多模态模型训练数据的生产项目：作为算法与标注资源的“连接器”，将抽象的模型需求转化为可执行的标注规则和验收标准。管理内外部标注团队（包括外包/众包资源），把控项目进度与成本，确保大规模数据交付的准时率与合格率。
3、流程设计与工程优化：设计 SFT、 RLHF 等数据流转机制，搭建高效的 Workflow。协同多方团队，优化标注效率和质量。
4、负责构建从数据寻源、抓取、到复杂异构数据解析的全流程系统，解决多模态数据的清洗与结构化难题。
5、利用模型生成数据等方式，构建自动化数据扩充流水线，降低对人工标注的依赖，突破数据规模瓶颈。
6、建立数据质量评估体系，系统性分析标注数据的质量分布特征，提升标注效率。","● 计算机相关专业本科及以上学历，5年以上后端或全栈开发经验。
● 精通 Python/Go/Java 中至少一门语言，熟悉 K8s、Docker 等容器化技术，有大规模分布式系统设计经验。
● 在 Scale.ai 等公司从事过数据平台研发者优先，有过 Label Studio, CVAT, Doccano 等开源标注工具的二次开发经验者优先。
● 深入理解大模型训练流程（Pre-train, SFT, RLHF, DPO）
● 深入理解 Human-in-the-Loop (HITL) 流程，对于如何用工程手段优化数据生产有经验。
● 具备较强的数据敏感度和分析能力，能够基于数据发现问题、沉淀结论并支持业务决策。",1,王姝雅(零曦),,2026 - 02 - 03,2026 - 05 - 01,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260203a5c2528da6d244e6b0df2c5058739a36&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-科学家/资深专家-多模态大模型方向,,阿里集团-高德,中国-北京-北京,硕士,五年以上,P9,"团队介绍：
作为中国领先的数字地图内容及导航服务提供商，高德地图日均服务数亿用户出行决策，每日处理超百亿级位置数据。视觉技术中心是驱动高德实现高精度地图、三维重建、LLM/VLM，AI Agent等核心技术，持续突破自动驾驶、AR导航、具身智能、推广搜和生活服务等领域的技术边界。团队不仅在计算机视觉领域持续深耕，更将计算机视觉及AI技术在自主导航、高德打车、生活服务等多元化应用场景。 作为高德地图的核心技术驱动部门，我们以下一代三维地图引擎、多模态理解与生成、空间智能、世界模型等方向为核心，推动智能出行与真实世界连接的深度融合。
团队gihub主页：https://github.com/amap-cvlab

岗位职责：
研究多模态核心算法：跨模态表示学习、对齐、生成与推理（图文/视频-语言/3D-语言等）；
参与多模态大模型研发：优化预训练策略、高效微调、长序列建模等关键技术；
探索多模态技术在内容理解、智能交互、具身智能等场景的落地应用；
撰写高质量论文，开源核心代码，积极参与学术社区交流。","计算机视觉、图形学等相关专业硕士及以上学历；
在CVPR/ICCV/ECCV/NeurIPS/ICML/ACL/EMNLP等顶会发表过多模态、计算机视觉、NLP相关论文（第一作者优先）；
精通PyTorch，具备多模态模型训练与调优实战经验（熟悉CLIP、BLIP、LLaVA等经典工作）；
扎实的深度学习基础，深入理解Transformer、对比学习、生成模型等技术；
良好的代码规范与团队协作能力。
优先考虑：
有百亿参数级以上多模态模型训练或优化经验；
在知名AI实验室（如FAIR、Google Research、MSRA等）有相关研究经历；
主导或核心贡献过高影响力开源项目（如多模态工具库、数据集）。",1,贺莹(晓莹),,2026 - 02 - 04,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260203bdba5e0a50234e9da5bfe941779c4135&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-科学家/资深专家-世界模型方向,,阿里集团-高德,中国-北京-北京,硕士,五年以上,P9,"团队介绍：
作为中国领先的数字地图内容及导航服务提供商，高德地图日均服务数亿用户出行决策，每日处理超百亿级位置数据。视觉技术中心是驱动高德实现高精度地图、三维重建、LLM/VLM，AI Agent等核心技术，持续突破自动驾驶、AR导航、具身智能、推广搜和生活服务等领域的技术边界。团队不仅在计算机视觉领域持续深耕，更将计算机视觉及AI技术在自主导航、高德打车、生活服务等多元化应用场景。 作为高德地图的核心技术驱动部门，我们以下一代三维地图引擎、多模态理解与生成、空间智能、世界模型等方向为核心，推动智能出行与真实世界连接的深度融合。
团队gihub主页：https://github.com/amap-cvlab

岗位职责：
研究世界模型核心技术：包括环境动态建模、多模态表征学习、基于模型的规划与推理等；
设计算法并在仿真/真实场景中验证（如机器人控制、视频预测、具身交互等）；
撰写高质量论文，参与开源项目，推动技术社区影响力；
与算法、工程、产品团队协作，支持技术落地。","计算机视觉、图形学等相关专业硕士及以上学历；
在NeurIPS/ICML/ICLR/CVPR/RSS等顶会发表过世界模型、生成模型、强化学习等相关论文（第一作者优先）；
精通PyTorch/TensorFlow，具备大规模模型训练与仿真环境开发经验；
深入理解生成式模型、序列建模、因果推理等方向，能独立推进研究课题；
优秀的逻辑表达与团队协作能力。
优先考虑：
有机器人、自动驾驶、视频生成等场景的世界模型落地经验；
在DeepMind、OpenAI、FAIR等机构有研究经历；
拥有高影响力开源项目（GitHub stars≥1k）或工具库贡献。",1,贺莹(晓莹),,2026 - 02 - 04,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602038cb239ee87fd4245b0dc110d1c2c8983&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
