职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里云智能-AI交付高级专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P8,"负责SMB AI业务的技术交付和服务策略的制定和执行，搭建围绕SMB AI用户的服务与交付体系，保障项目交付与服务高质量落地，打造和推广技术服务的影响力。
(一) SMB AI业务的策略制定与拆解：依据公司的经营战略、市场分析和数据洞察，以及SMB AI客户及业务反馈，制定SMB AI业务的服务与交付的策略规划和拆解，设定业务目标。联动SMB销售、公司产研、服务、采购、BI、财务等上下游相关方，确保策略高质量落地、业务目标达成。
(二) 技术交付与服务的流程规范及经营体系建设：建立并完善SMB AI业务的技术服务与交付履约管理规范，明确核心业务节点组织管理要求和一线执行规范，拆解提炼标准执行动作，通过数据化方式监控管理要求落地执行情况。
(三) AI项目管理：基于交付履约流程规范，做好售前风险评审管控、项目过程质量管控，建立重点项目风险问题升级决策机制。
(四) 交付伙伴管理：结合业务策略，制定并落实生态伙伴的拓展、维护、成长、汰换机制，培育生态伙伴资源及网络，提升SMB AI项目的技术交付与服务能力。
(五) 客户分析与市场洞察：定期进行AI市场调研，深入分析AI客户需求。根据用户需求、行业趋势、市场动态，识别潜在机会与威胁，调整和优化交付与服务的策略。","(一) 学历要求：本科以上学历，泛计算机相关专业
(二) 工作经验：8年以上云计算相关行业，AI业务交付与服务相关工作经验，中小企业服务经验；3年以上团队管理经验
(三) 技术产品能力：云产品和技术基础扎实，具备与客户技术一号位对话的能力。具有一定的技术产品思维，有技术产品设计经验者优先。
(四) 项目管理能力：能主导复杂项目的实施与交付，能规划和设计高效项目运作模式（含流程、工具、方法等），输出项目管理策略和方法论，帮助组织整体提升改进。
(五) 伙伴管理能力：拥有丰富的生态伙伴运营知识储备，具有伙伴选、育、用、留、汰经验，具备伙伴赋能能力，建立与维护伙伴良好合作的能力。
(六) 客户服务能力：具有对客服务经验，理解客户业务，通过专业判断和沟通能力，清晰传递合作价值，促成共赢的商业决策。有销售经验者优先。
(七) 数据洞察：在模糊的目标及场景下主动独立发现和识别关键业务问题和机会点，挖掘商业机会，提出建设性意见观点为业务决策所用。
(八) 层级：P8；地点：杭州",1,蔡廷浩(闻卿),,2025 - 09 - 14,2025 - 10 - 13,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250715bcaa9a28ef0149afbfa228b540cac32f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-AI交付高级专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P8,"负责SMB AI业务的技术交付和服务策略的制定和执行，搭建围绕SMB AI用户的服务与交付体系，保障项目交付与服务高质量落地，打造和推广技术服务的影响力。
(一) SMB AI业务的策略制定与拆解：依据公司的经营战略、市场分析和数据洞察，以及SMB AI客户及业务反馈，制定SMB AI业务的服务与交付的策略规划和拆解，设定业务目标。联动SMB销售、公司产研、服务、采购、BI、财务等上下游相关方，确保策略高质量落地、业务目标达成。
(二) 技术交付与服务的流程规范及经营体系建设：建立并完善SMB AI业务的技术服务与交付履约管理规范，明确核心业务节点组织管理要求和一线执行规范，拆解提炼标准执行动作，通过数据化方式监控管理要求落地执行情况。
(三) AI项目管理：基于交付履约流程规范，做好售前风险评审管控、项目过程质量管控，建立重点项目风险问题升级决策机制。
(四) 交付伙伴管理：结合业务策略，制定并落实生态伙伴的拓展、维护、成长、汰换机制，培育生态伙伴资源及网络，提升SMB AI项目的技术交付与服务能力。
(五) 客户分析与市场洞察：定期进行AI市场调研，深入分析AI客户需求。根据用户需求、行业趋势、市场动态，识别潜在机会与威胁，调整和优化交付与服务的策略。","(一) 学历要求：本科以上学历，泛计算机相关专业
(二) 工作经验：8年以上云计算相关行业，AI业务交付与服务相关工作经验，中小企业服务经验；3年以上团队管理经验
(三) 技术产品能力：云产品和技术基础扎实，具备与客户技术一号位对话的能力。具有一定的技术产品思维，有技术产品设计经验者优先。
(四) 项目管理能力：能主导复杂项目的实施与交付，能规划和设计高效项目运作模式（含流程、工具、方法等），输出项目管理策略和方法论，帮助组织整体提升改进。
(五) 伙伴管理能力：拥有丰富的生态伙伴运营知识储备，具有伙伴选、育、用、留、汰经验，具备伙伴赋能能力，建立与维护伙伴良好合作的能力。
(六) 客户服务能力：具有对客服务经验，理解客户业务，通过专业判断和沟通能力，清晰传递合作价值，促成共赢的商业决策。有销售经验者优先。
(七) 数据洞察：在模糊的目标及场景下主动独立发现和识别关键业务问题和机会点，挖掘商业机会，提出建设性意见观点为业务决策所用。
(八) 层级：P8；地点：杭州",1,蔡廷浩(闻卿),,2025 - 09 - 14,2025 - 10 - 13,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250715bcaa9a28ef0149afbfa228b540cac32f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-AI交付高级专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P8,"负责SMB AI业务的技术交付和服务策略的制定和执行，搭建围绕SMB AI用户的服务与交付体系，保障项目交付与服务高质量落地，打造和推广技术服务的影响力。
(一) SMB AI业务的策略制定与拆解：依据公司的经营战略、市场分析和数据洞察，以及SMB AI客户及业务反馈，制定SMB AI业务的服务与交付的策略规划和拆解，设定业务目标。联动SMB销售、公司产研、服务、采购、BI、财务等上下游相关方，确保策略高质量落地、业务目标达成。
(二) 技术交付与服务的流程规范及经营体系建设：建立并完善SMB AI业务的技术服务与交付履约管理规范，明确核心业务节点组织管理要求和一线执行规范，拆解提炼标准执行动作，通过数据化方式监控管理要求落地执行情况。
(三) AI项目管理：基于交付履约流程规范，做好售前风险评审管控、项目过程质量管控，建立重点项目风险问题升级决策机制。
(四) 交付伙伴管理：结合业务策略，制定并落实生态伙伴的拓展、维护、成长、汰换机制，培育生态伙伴资源及网络，提升SMB AI项目的技术交付与服务能力。
(五) 客户分析与市场洞察：定期进行AI市场调研，深入分析AI客户需求。根据用户需求、行业趋势、市场动态，识别潜在机会与威胁，调整和优化交付与服务的策略。","(一) 学历要求：本科以上学历，泛计算机相关专业
(二) 工作经验：8年以上云计算相关行业，AI业务交付与服务相关工作经验，中小企业服务经验；3年以上团队管理经验
(三) 技术产品能力：云产品和技术基础扎实，具备与客户技术一号位对话的能力。具有一定的技术产品思维，有技术产品设计经验者优先。
(四) 项目管理能力：能主导复杂项目的实施与交付，能规划和设计高效项目运作模式（含流程、工具、方法等），输出项目管理策略和方法论，帮助组织整体提升改进。
(五) 伙伴管理能力：拥有丰富的生态伙伴运营知识储备，具有伙伴选、育、用、留、汰经验，具备伙伴赋能能力，建立与维护伙伴良好合作的能力。
(六) 客户服务能力：具有对客服务经验，理解客户业务，通过专业判断和沟通能力，清晰传递合作价值，促成共赢的商业决策。有销售经验者优先。
(七) 数据洞察：在模糊的目标及场景下主动独立发现和识别关键业务问题和机会点，挖掘商业机会，提出建设性意见观点为业务决策所用。
(八) 层级：P8；地点：杭州",1,蔡廷浩(闻卿),,2025 - 09 - 14,2025 - 10 - 13,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250715bcaa9a28ef0149afbfa228b540cac32f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-稳定性产品经理-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,三年以上,P7,"结合云智能稳定性业务目标，完成云智能稳定性工具平台包括变更统一管控平台、故障全生命周期管理平台、故障演练平台、稳定性隐患巡检平台等是云智能稳定性业务管理的核心支撑平台的规划，结合集团整体策略和各业务目标，制定平台策略。
1. 市场洞察和需求分析
● 通过调研和用户沟通，分析产品实际使用情况，洞察用户场景和需求，挖掘用户价值和痛点。
● 通过市场和竞对分析，洞察市场和技术发展趋势，分析对比行业产品能力。
● 根据业务需求和技术可行性，制定长期的产品路线图，并协调内部团队资源进行优先级排序。
2. 产品规划和设计
● 根据业务流程，按照产品整体规划，制定本业务域的产品规划和迭代演进方案。
● 根据业务方需求，以平台视角抽象业务本质，负责业务模式的沉淀和产品功能模块、能力、界面、交互流程等设计。
● 根据内部业务运营的规则，在安全合规的前提下，兼顾流程效率，使相关流程规范、政策制度在产品中落地。
3. 产品开发管理
● 做好产品开发的项目管理，把握关键点的选择，多端多场景的适配和支撑，通过高效获取与整合资源落地产品方案。
● 协调研发团队完成产品的开发、测试、上线各环节，完成产品按期交付，达到预期效果。
4. 产品改进和风险管理
● 关注用户对产品的使用，合理安排产品需求优先级，推动产品改进、新产品或功能孵化，提升产品易用性，优化产品稳定性、安全性、性能和成本。
● 做好产品合规与风险防控，排查治理数据安全/合规/廉正/资损等各类隐患，保证日常运维与服务的高质量。","1、3年以上互联网产品经理工作经验，有大型平台产品设计经验者优先；
2、熟悉云计算的业务模式、系统架构和解决方案优先；
3、理解技术原理，能参与产品设计过程中相关技术问题讨论，协调关键技术问题解决；
4、洞察用户体验痛点，清晰定义问题，结合行业、技术与业务的发展趋势，挖掘产品的优化空间，主导产品设计及持续迭代；
5、良好的项目管理和沟通能力，拉通、推动多个团队协同合作，保证产品规划与需求按期上线，保证业务目标实现；
6、具备出色的实际解决问题与抗压能力，对数字敏感，拥有良好的数据思维、逻辑思维能力，可以带领项目组落地拿结果",1,李佳(贤淑),,2026 - 02 - 14,2026 - 02 - 02,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202507148d81908dfe254c42bbd17d941b0f8817&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-稳定性技术专家/高级专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P8,"部门介绍：
云智能集团承载着阿里巴巴集团在高科技领域的核心技术和业务创新，致力于构建数字经济时代的企业级云计算服务平台，并且在全球范围内提供卓越的技术解决方案和服务，具备超大业务规模以及复杂的企业级云计算服务。云智能集团稳定性团队的使命是保障云智能集团生产环境的稳定性以及企业级云计算数据可靠性，服务连续性。如何保障云上客户的业务连续运行以及不止于99.99%的可用性，是我们面临的巨大挑战。云智能集团稳定性团队的目标是建立技术和管理结合的体系化稳定性保障体系，包括但不局限于：
1.制定稳定性规范和度量，如涵盖健壮性架构、研发质量、发布变更、生产环境运行管理等方面，把稳定性贯彻到阿里云技术研发体系。
2.推动开展稳定性架构治理重大战役，如全栈容灾，变更灰度，应急1-5-10，资损防控等战役，将稳定性风险快速持续收敛。
3.构建稳定性技术中台，无人值守变更，红蓝攻防，应急协同，风险隐患巡检，监控发现等方面建设平台化能力，让稳定性工程更简单。
4.应急处置生产环境故障，应急响应，处置协同，故障定位，故障恢复，故障复盘改进。
5.通过技术和服务全方位保障客户业务的大型活动稳定性保障，如淘天集团双11，亚运会、奥运会以及客户业务关键期保障。
6.该职位涉及值班响应的职责，在服务级别协议（SLA）时间内做出对客响应，推动客户问题的解决，改善客户体验。

岗位职责：
1、技术洞察和问题定义
•洞察领域发展方向，熟悉技术标准和前沿进展，跟踪关键竞对的技术和方法。
•结合产品现状提出待解决的问题，理解业务目标并分解到技术产品待解决问题中。
2、架构规划
•对所在领域业务进行架构抽象，建立整体业务领域模型。
•制定系统整体架构规划和技术路线图，确定系统目标和方向，综合考虑应用架构、数据架构、关键技术选型、部署架构等多方面因素，确保系统整体质量。
3、架构设计
•设计架构方案，包括系统组件、模块间的关系、接口、数据流和数据结构、基础设施等，保障系统的安全性、稳定性、易扩展、易维护和性能。
•把握业务全链路技术方案设计，确保技术可实现性、易用性，无重大风险。
•拆解工作，把复杂目标拆成一系列可以落到具体团队或个人的工作。
4、架构落地
•识别优先级、明确目标步骤和应急方案，保障架构实施落地和用户体验。
•梳理关键技术难点，指导开发团队进行突破和攻关，对开发过程进行监督和管理。
•负责部分核心代码编写，虚实结合，做好架构管理。
5、架构治理和演进
•制定架构的原则、规范与治理机制，并且落实到具体的项目研发中。
•负责架构管控，参与领域的重大架构决策，管控架构变更。
•识别不合理业务和架构设计，定期评估架构成熟度。
•基于业务需求和技术演进目标，指导开发团队对系统进行优化和扩展、解决技术债务，推动架构持续演进。
6、技术沉淀和赋能
•团队技术架构分享、技术文档和架构规范沉淀、学习引入新技术，赋能开发团队的技术成长，做好知识传承。","• 4年以上工作经验，至少2年大型分布式系统或云计算重要领域的架构及研发经验；资深者至少6年大型分布式系统或云计算重要领域的架构及研发经验。
• 能够梳理、设计大型系统的架构，通过治理、改进、重构等方式主动降低全局复杂度，具体体现在对于困难问题，能够提出并落地简单的易于维护的解决方案。
• 能够合理地对于 1-2 年的系统演进和技术选型做出决策，能够识别技术复用的机会，在项目中复用团队内外部的技术，或者产出能被其他团队复用的技术。
• 有站在公司角度上的全局意识（或）技术产生业务增值。
• 能够主导核心业务或技术系统的架构设计和实际编码，通过对代码的code review、设计评审、单测覆盖，确保功能的交付质量和鲁棒性，有较强的问题分析和问题解决能力，是关键问题终结者。
• 在稳定性、安全、性能、成本等方面能够系统性保障，并持续跟进进展，有效预判并防范风险。
• 能识别产品现状问题，并分解为多个可管理的小问题，更好地指导技术团队工作。
• 能平衡各相关方诉求，平衡产品及架构的长、短期需要，推动关键领域问题解决。
• 产品线研发安全生产构建者。
• 能够在多产品/小型产品线/中型复杂系统层面严格遵循研发安全生产规范和流程，保障相关产品/技术/系统的可容灾、可观测、可处置、可运维、可快恢。
• 熟练掌握业内主流的研发安全生产技术体系，并在团队内有效落地应用，提升产品/技术/系统的安全和稳定性。
• 具有跨产品、中型复杂系统的研发安全生产经验，能够应对比较复杂的项目环境和各类突发状况，保障研发项目的平稳落地。
• 在所负责团队层面严格遵循安全稳定演练体系，通过容灾演练、红蓝对抗、突袭演练等方式提前发现系统风险，基于稳定性演练持续培养技术团队的研发安全生产意识和专业能力。
• 了解产品基本面，熟悉产品的全链路，能有效说明产品的本质。
• 熟悉技术领域相关的前沿信息渠道，并能在团队中进行技术分享。
• 熟悉竞对和对标产品的核心技术指标、优劣势对比，对我们如何追赶和保持优势有一定的理解。
• 通过内外部渠道理解客户诉求，并能结合自己的技术理解形成有价值的洞见。",1,李佳(贤淑),,2026 - 02 - 18,2026 - 02 - 02,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250714de9f4f41775942d4b3e674d534d36c86&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-云平台交付工程师/专家-北京|杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,五年以上,P7,"● 负责公有云交付架构和平台工具的规划设计，通过部署架构优化、部署工具和体系建设来提升全流程交付部署效率
● 持续提升云平台及其系统组件的可交付能力，建立知识库、交付工具、交付流程优化及方法论
● 负责公有云新Region/AZ交付项目全链路交付实施，识别和屏蔽实施前技术风险
● 基于平台和数据的持续建设，推动交付平台工具优化，提升云产品自动化交付能力；并设计和输出交付平台的独立部署、版本管理等能力","● 具备复杂系统的部署架构和部署工具的设计经验或能力，负责或参与过复杂软硬件部署交付部署项目经验者优先
● 具备计算、存储、网络、数据库、云原生、大数据、中间件等领域中的一项或多项技术理解和应用经验
● 具备跨产品的系统架构能力，能基于此做交付方案设计或问题排查
● 5年以上云计算交付运维、技术支持相关经验，能独立完成云计算产品部署和交付经验者优先
● 具备较强的表达能力，良好的团队协作能力，能够联动多团队完成业务优化的目标
● 具备良好的英语读写和听说能力，英文可以作为工作语言者优先",1,李佳(贤淑),,2025 - 11 - 18,2025 - 11 - 30,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250714f80621dc79804f028745e177f9f0dd99&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-商业技术工程师（泛政府方向）-南京,,云智能集团-阿里云智能,中国-江苏-南京,本科,五年以上,P7,"1、主动洞察负责区域/市场的泛政府行业，识别出关键/潜在客户，并主动找到关键决策链，识别客户真实需求；
2、通过商务沟通、拜访交流等方式和客户对话，获取客户信任，挖掘和洞察客户业务需求，形成有效商机。
3、协同SA、产研和生态伙伴等资源，形成明确的销售及解决方案策略，设计合作路径并沟通执行。
4、通过沟通和影响力、商务报价等一系列销售策略的运用，转化商机，达成业绩。
5、支撑混合云复杂项目运作，参与招投标流程管理、项目管理、风险管理，协调组织资源。","1、5年以上云计算相关行业，To B/G销售和售前相关工作经验
2、有丰富的有软件产品售卖经验、有大客户拓展经验
3、有规模大的项目运作经验，招投标、风险管理等经验
4、独立call high肩部客户负责人，完成有效的业务和技术交流，影响并加速决策。
备注：有阿里云技术认证ACP（阿里云专业认证）、ACA（阿里云高级认证）者优",4,严莉(勤茉),,2025 - 11 - 27,2026 - 01 - 25,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250714cca31e85f4a349a38be1b1996c100797&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-商业技术工程师（政企方向）-厦门/福州,,云智能集团-阿里云智能,"中国-福建-厦门,中国-福建-福州",本科,五年以上,P7,"1、主动洞察负责区域/市场的泛政府行业，识别出关键/潜在客户，并主动找到关键决策链，识别客户真实需求；
2、通过商务沟通、拜访交流等方式和客户对话，获取客户信任，挖掘和洞察客户业务需求，形成有效商机。
3、协同SA、产研和生态伙伴等资源，形成明确的销售及解决方案策略，设计合作路径并沟通执行。
4、通过沟通和影响力、商务报价等一系列销售策略的运用，转化商机，达成业绩。
5、支撑混合云复杂项目运作，参与招投标流程管理、项目管理、风险管理，协调组织资源。","1、5年以上云计算相关行业，To B/G销售和售前相关工作经验
2、有丰富的有软件产品售卖经验、有大客户拓展经验
3、有规模大的项目运作经验，招投标、风险管理等经验
4、独立call high肩部客户负责人，完成有效的业务和技术交流，影响并加速决策。
备注：有阿里云技术认证ACP（阿里云专业认证）、ACA（阿里云高级认证）者优",1,严莉(勤茉),,2026 - 01 - 29,2026 - 03 - 16,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250714159b03c5ee644c819e5f1da795638c7a&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-组织治理专家（研究&洞察方向）-杭州,,云智能集团-CPO线,中国-浙江-杭州,本科,六年以上,P7,"1. 竞对动态追踪与洞察：定期跟踪并分析目标行业（云计算&AI领域）友商的业务动态、组织架构与关键管理层布局，形成周期性报告，为内部组织&人才战略提供参考。
2. 专项对标研究与洞察：针对公司战略需求或现状痛点引发的课题，开展专项对标研究，设计研究方法并落地执行。结合外部最佳实践，提炼可借鉴的解决方案建议。
3. 研究体系与能力建设：梳理内部知识体系，系统性沉淀组织&人才领域的趋势洞察、最佳实践和研究方法工具，推动组织学习；对接第三方研究供应商，妥善管理资源投入。
4. 研究洞察域的AI产品建设：作为业务方，协同产研团队开发具备业界先进的深度研究类AI Agent，构建知识库、做评测、持续迭代产品，为目标用户提供高效、精准的信息和决策依据。
5. 解决方案设计与落地支持：基于对不同业务线的深度理解，就组织架构与岗位、组织管理机制等方面支持业务leader与HRG开展问题诊断和解决方案共创，并协助解决方案的落地实现。","1. 4年以上战略咨询/HR咨询公司工作经验，有独立交付组织/人才战略或行业对标类项目的丰富经验。关注AI前沿技术，并有兴趣与自身的工作实践相结合；有云计算、AI或高科技行业研究经验者优先。
2. 具备从零解构复杂课题的能力，擅长在时间压力下整合多方资源（如专家访谈、公开数据、第三方报告）完成高质量交付。
3. 专业、严谨、细致，同时有较强的变通性和适应能力，能够结合研究发现和内部实际，提炼接地气的洞察建议。
4. 具备一定的沟通影响力，能向利益相关方清晰传递研究发现，并推动后续解决方案的设计与落地。
5. 熟悉大模型基础原理（如RAG、Prompt工程等），能够作为业务专家配合技术团队进行知识标注、评测集构建与模型输出优化等，有参与AI类产品（如智能助手）搭建经验者优先。",1,洪璇(书玄),,2025 - 11 - 07,2025 - 12 - 20,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202507141080db35532a455bb9a6429507345584&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-无影 大模型算法专家-上海/杭州,,云智能集团-阿里云智能,"中国-上海-上海,中国-浙江-杭州",硕士,三年以上,P7,"1. 多模态大模型研发与优化
1) 设计并实现多模态大模型（图文音联合建模），解决跨模态语义对齐、动态数据处理等核心问题。
2) 优化模型生成能力，支持复杂多模态交互，实现毫秒级响应。
2. 多 Agent 系统算法设计
1) 构建多 Agent 协作框架，设计动态任务分配与博弈策略，解决资源争夺、动态联盟等复杂场景下的决策问题。
2) 结合博弈论与强化学习，开发对手建模模块，预测其他 Agent 的策略分布，优化协作效率。
3) 参与工业级 Agent 系统落地。
3. 行业场景落地与创新
1) 探索生成式 AI 与 RAG的结合，提升垂直领域的知识推理能力。
2) 跟踪前沿技术，推动技术方案的创新与落地。","1. 技术技能
1) 模型开发：精通 Transformer 架构，熟悉多模态模型、大语言模型。
2) 工具链：熟练使用 PyTorch、TensorFlow、Transformers，掌握 Deepspeed、Magtran 等分布式训练工具。
3) 算法优化：熟悉 SFT、RLHF、LoRA 等微调技术，具备模型压缩等轻量化经验。
4) 分布式训练：了解 NCCL、Megatron-LM，有跨节点通信优化经验者优先。
2. 项目经验
1) 至少参与过 1 个完整的大模型项目（如预训练、微调、部署）。
2) 熟悉多模态数据处理流程，包括跨模态对齐、领域适配与模型压缩全链路优化。
3) 有工业级 Agent 系统落地经验者加分。
3. 其他
1) 具备良好的系统设计与工程化能力，能够从 0 到 1 构建技术方案。
2) 较强的学习能力与问题解决能力，能够快速掌握前沿技术。
3) 优秀的沟通协作能力，能够与产品、工程团队高效配合。
4. 加分项
1) 在相关会议（NeurIPS、ICML、CVPR）发表过论文，或在 Kaggle、天池等竞赛中获奖。
2) 有开源社区贡献经验（如参与 Hugging Face、PyTorch 生态开发）。",3,高峰(亮节),,2026 - 01 - 10,2025 - 10 - 26,已关闭,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20250714f5cc35516d8949acb2be83dc06974970&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
