职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
AI Infra研发工程师-稳定性方向,MiniMax,,上海,--,--,,"1. 负责Minimax大规模AI推理场景下稳定性技术体系的设计与迭代
2. 负责梳理Minimax主要服务相关的推理框架，模型服务，算力中台，基础设施等各层技术栈以及依赖。
3. 负责稳定性相关工具链的开发，迭代以及落地，提升稳定性研发效能。
4. 负责设计与推进稳定性工作流构建与建立，包括但不限于：E2E可观测性与告警，变更以及研发流程，容灾，故障处理，混沌工程，容量评估与压测等。","1. 计算机及相关专业，本科及以上学历；
2. 3年以上稳定性工作经验；
3. 能熟练使用一种编程语言，包括不限于Python/Shell/Golang/C++/C；
4. 有Devops与Agile思维与经验
5. 有良好的团队沟通和协作能力，有良好的责任心；",,缪缪,2025-12-18,,,,https://hire.feishu.cn/hunter/position?job_post_id=7585090839786015017
快消品类营销Leader-抖音电商,ByteDance,,上海,本科及以上,7-10 年,,"1、制定年度营销规划和日历，通过品类营销活动构建行业消费者认知，拉动品类增长，包括但不限于制定品类发展策略、活动方案策划、商业化合作等，促进业务指标增长并优化行业营销认知和消费者认知；
2、基于全域电商的生态进行场景挖掘，设计不同的用户策略及活动方案，达成内容、搜索、成交等相关业务目标；
3、有效打造用户端的品牌认知，紧追社会热点和潮流文化趋势，快速响应并策划相关传播性营销事件并执行落地；
4、针对行业和平台调性进行活动亮点挖掘，沉淀出对市场和行业有影响力的活动案例；
5、基于数据分析和洞察，制定针对品类、品牌和人群的营销策略和方法，推动策略落地。","1、快消食品行业市场营销或电商营销经验，有平台侧营销经验为佳；
2、扎实的市场营销功底和成长性思维，对品牌/品类增长有全域理解和增长策略；
3、具有高度的工作热情和主观能动性，沟通协调、营销策划及资源整合能力强，数据驱动业务能力强；
4、创新和突破能力强，擅长在新业务生态下找到新的营销策略和方法论并推动落地。",,李晨成,2025-12-17,,,,https://hire.feishu.cn/hunter/position?job_post_id=7506490022095767834
研发架构师-抖音直播互动（北京/深圳/上海/杭州/广州）,ByteDance,,深圳,本科及以上,10 年以上,,"1、负责业务稳定性，从全局视角通过挖掘风险、架构治理等手段保障稳定性结果；
2、负责数据中心成本，从全局视角分析优化架构，提升资源利用率，持续优化成本；
3、参与服务端架构设计，提供专业的稳定性和架构优化方案，提升架构长期合理性；
4、探索AI等新技术在稳定性/成本/架构方案的可能性。","1、有高并发、大流量在线服务的建设经验，在稳定性治理方法论和成本优化上有体系化的思考和见解；
2、有扎实的编程能力，精通信息和通信技术以及计算机体系结构，例如操作系统、网络、数据库等；
3、具备学习能力和自驱力，有求知欲，能及时关注和学习业界最新技术；
4、具备系统化解决问题的能力，有沟通和协作能力，逻辑严谨、思路清晰，对于解决复杂问题有较大热忱。",,王广欣,2025-12-16,,,,https://hire.feishu.cn/hunter/position?job_post_id=7584296817320954163
C端产品经理,LiblibAI,,北京,--,--,,"1. 负责移动端创作工具的需求梳理与定义，结合用户反馈优化功能，提升创作体验；
2. 梳理移动端社区需求，定义功能与玩法，增强用户互动与粘性；
3. 跟进创作工具和社区需求的落地，协调资源推动迭代，保障效果；
4. 分析相关数据，挖掘用户需求，为创作工具和社区优化提供依据。","1. 统招本科及以上学历，1-5年产品经验，有ai 图片或视频创作经验者优先；
2. 具备需求梳理与定义能力，能清晰输出需求文档，沟通能力强；
3. 了解海外用户习惯，逻辑清晰，有责任心，能承受一定工作压力；
4. 学习能力强，热爱AI",,任婧娴,2025-12-14,,,,https://hire.feishu.cn/hunter/position?job_post_id=7578810559442979115
多模态大模型算法工程师-PICO,ByteDance,,北京,本科及以上,3-5 年,,"1、负责MR场景中基于视觉、点云、文本等模态的多模态大模型研发，包括模型优化、数据建设、评测完善、训练/推理加速等技术研发；
2、深入探索并跟进业界前沿技术，推进多模态大模型在MR场景的应用与落地。","1、熟悉常用的多模态大模型预训练、后训练等技术及优化策略，具有相关方向的实践经验；
2、较强的问题分析与学习能力，能快速跟进前沿技术，并应用于实际问题解决；
3、熟悉常用的2D/3D CV任务，如Detection、Segmentation、Depth Estimation、Image Matching等；
4、熟练掌握C++/Python等编程语言，扎实的编程能力和工程实现能力，ACMICPC、NOI/IOI、Top Coder等比赛获奖者优先；
5、在计算机视觉、机器人、图形学等相关领域顶会发表论文或竞赛取得名次者优先。",,刘悦悦,2025-12-10,,,,https://hire.feishu.cn/hunter/position?job_post_id=7582105288422557971
测试开发工程师-豆包输入法,ByteDance,,北京,本科及以上,5-7 年,,"1、负责输入法业务的质量体系建设，设计输入法相关功能与性能的测试用例及评测方案；
2、对业务和系统架构细节逻辑掌握清晰，参与项目的测试执行，并深入掌握整体项目流程规范、测试技术以及相关平台和工具；
3、负责项目全生命周期全过程的质量管理，包括质保方案和策略的制定、预案、风险识别、规避、项目流程标准化、准入准出质量标准管控、缺陷管理、复盘等；
4、深入分析行业内产品的优势，设计并实施具体、有针对性的产品对比评测方案；
5、与产品和开发团队紧密协作，优化产品研发流程，提高测试效率，共同解决产品质量方面的挑战。","1、具备测试开发工作经验，计算机或相关专业本科以上学历，有互联网研发工作经历最佳；
2、对C端产品有较好的理解，有跨端测试经验者优先，包括服务端、PC端、移动端等，对测试技术有深入的研究、实践，技术判断力强；
3、熟练掌握C/C++/Java/Python等编程语言，具有丰富的自动化测试工具开发经验，有输入法经验者优先；
4、在团队协作方面有比较强的敏感度，在团队管理和培养上有较深经验者优先；
5、自驱力强，学习能力强，逻辑清晰，思维敏捷，责任心强。",,詹兰南,2025-12-09,,,,https://hire.feishu.cn/hunter/position?job_post_id=7526740939231840558
大模型算法工程师-豆包手机助手,ByteDance,,北京,本科及以上,3-5 年,,"1、探索前沿的LLM、MLLM、StableDiffusion等在端侧的落地和应用；
2、设计、调试并训练端侧某领域的大模型；
3、负责相关领域的数据收集、清洗、送标、微调、效果评估工作；
4、持续跟踪行业进展，提升团队在该领域的技术能力。","1、熟悉Transformers、大模型、LangChain等最新技术，有相关项目经验优先；
2、熟悉PyTorch、TensorFlow等深度学习框架；
3、良好的团队协作能力；
4、熟悉业内主流大模型原理，训练/Fine-tune策略，数据Pipeline等；
5、创新性强，有良好的动手实现能力，对技术有热情。",,陈晶,2025-12-08,,,,https://hire.feishu.cn/hunter/position?job_post_id=7439941987131722003
具身智能推理性能优化工程师-Seed,ByteDance,,北京,硕士及以上,不限,,"1、负责具身智能相关模型云侧和端侧模型的性能优化和部署；
2、运用性能分析工具，对模型推理过程进行性能剖析，定位性能瓶颈，提出有效的优化方案，并通过实验验证优化效果；
3、通过量化、剪枝、蒸馏、算子融合、Cuda算子编写等性能优化的手段，结合业务需求，将GPU性能发挥到极致；
4、与算法部门深度合作，进行算法与系统的联合优化。","1、本科及以上学历，计算机/电子/自动化/软件等相关专业，有AI工程优化经验的优先；
2、精通C/C++，精通算法与数据结构，熟悉Python；
3、了解深度学习算法基本原理，熟悉神经网络基本架构和各算子计算方式，了解至少一种深度学习训练框架；
4、熟练使用GPU或NPU高性能编程技术为模型训练或推理加速，例如：CUDA、CUDNN、CUTLASS、Triton等；
5、具备以下一个或多个能力者优先：
1）具备自动驾驶或机器人业务背景，有NVIDIA Jetson开发经验；
2）熟悉大模型量化或蒸馏技术，例如：SmoothQuant、GPTQ、LCM、LCM-LoRA等；
3）熟练使用开源推理加速工具为模型加速，例如：TensorRT-LLM、vLLM、TVM、Torch.Compile等，并理解其优化原理。",,刘悦悦,2025-12-08,,,,https://hire.feishu.cn/hunter/position?job_post_id=7504922013451110675
北美市场负责人,LiblibAI,,北京、上海、旧金山,--,--,,"1. 负责产品在北美市场的整体品牌叙事与市场策略制定；
2. 搭建并运营KOL/Creator生态体系；
3. 统筹launch、季节性活动、产品升级等重大整合营销Campaign全流程落地；
4. 协同创始团队、产品团队及全球市场团队，推动产品成为北美最具代表性的AI Design产品。
5.Base地可选：北京/上海/旧金山","1. 拥有AI/SaaS/设计工具/生成式内容平台的Marketing/Growth经验，具备0→1 GTM落地及大型整合营销Campaign（launch/季节性活动/产品升级）统筹能力；
2. 对硅谷科技圈（Tech Twitter/AI creators/Startup ecosystem）语境敏感，熟悉Creator Marketing及TikTok/YouTube/IG/X平台玩法；
3. 理解AI产品、模型能力及Agent概念，对AI有浓厚兴趣，主动探索新模型/新功能；
4. 具备极强的叙事能力、文化敏感度与审美判断，行业内高共情且精准理解创作者需求；
5. 反应敏捷、执行高效、结果导向，适配创业团队工作节奏；
6. 对增长、留存、ROI等核心KPI有清晰认知。

加分项：
拥有北美科技圈内资源（KOL、媒体、AI社区、创作者、Newsletter/Podcast等）。",,Arina,2025-12-05,,,,https://hire.feishu.cn/hunter/position?job_post_id=7580310457949997355
资深搜索算法工程师,值得买科技,,北京,硕士及以上,7-10 年,,"1、优化搜索链路（搜索引导、Query 处理、ES DSL 优化、特征工程、个性化排序等），提升相关性、首点位置、CTR、渗透率等核心指标；
2、与标注运营、外包团队协作，建立高效可靠的数据标注流，保障算法训练数据质量；
3、与策略产品团队协作，优化策略效能与前台展现体验；与工程团队协作，打造高效率工程工具，提升上线速度与整体体验；
4、调研、评估、引入新工具与算法，提升算法迭代效率。","1、具有5年以上亿级曝光搜索业务经验，具备搜索全链路优化的深厚经验与成功案例；
2、精通搜索相关算法原理（如排序、NLP），精通 Python，熟悉 Linux 及分布式系统开发，掌握常用机器学习框架（TensorFlow / PyTorch 等）；
3、具备极高的自驱力、扎实的业务理解和结果导向意识，能在快节奏环境下将复杂或不确定的业务问题转化为高效可行的技术方案并落地实现；
4、有优秀的协作能力，能够驱动上下游各方达成目标；有敏捷团队管理经验（3人以上小组）者优先；
5、工作地点：北京丰台科技园；
6、善于使用AI工具解决工作中遇到的问题（思路寻找、方案设计、编程、Debug等各方面）。",,王晓峰,2025-12-05,,,,https://hire.feishu.cn/hunter/position?job_post_id=7580217482398075178
