职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
高德-前端开发工程师-埋点,,阿里集团-高德,中国-北京-北京,本科,五年以上,P7,"1. 熟悉数据埋点体系，有前端埋点 SDK 架构设计及落地经验；
2. 能够梳理并设计大型系统架构，通过治理、改进和重构主动降低复杂度；
3. 熟悉 SQL，能自助使用数据工具进行数据分析；
4. 具备出色的认知洞察力和学习能力，能够迅速掌握新业务场景和逻辑；
5. 具有良好的言语表达能力，善于与人沟通合作，有良好的团队意识及高度责任心；
6. 关注前端技术发展，乐于学习分享，良好的沟通心态，能承受一定的工作强度；","1. 有电商、广告等业务的埋点体系项目经验，有完整数据治理项目经验；
2. 有大型前端项目架构设计及落地经验；
3. 有优秀的独立开源项目或深度参与过业界知名的开源项目。",1,张红阳,,2026 - 01 - 10,2026 - 03 - 29,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260110c44a4f2f786d4c52a2e5f955eb5778c1&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-线上投放增长运营负责人-P8,,阿里集团-高德,中国-北京-北京,本科,五年以上,P8,"职位描述
1、全面负责高德地图国内外市场用户增长的线上投放策略与执行，以效果广告为核心手段，主导制定跨区域、多渠道的增长获客方案，对有效用户规模、转化效率及整体ROI达成负责；
2、统筹管理信息流、应用商店（厂商）、SEM、社交及程序化等全链路投放渠道，主导Meta、Google Ads、TikTok For Business、Snapchat、Pinterest等海外主流平台的投放策略设计与落地，持续优化投放模型与预算分配机制；
3、搭建并完善国内外投放数据监控体系，深入分析曝光、点击、转化、LTV等核心指标，基于数据洞察驱动策略迭代与自动化优化机制建设，提升投放综合效能；
4、主导探索新兴媒体、创新广告产品形态及本地化投放模式（如区域定向、文化适配、本地KOL联动等），沉淀可复用的方法论，推动投放与创意的双重突破；
5、结合用户画像、行为路径与市场竞争格局，挖掘海内外潜在增长机会点，尤其是新兴市场渠道布局与跨文化用户获取策略，支持国际化产品推广目标；
6、组建并带领线上投放团队，制定团队目标、工作流程与能力建设规划，协同市场、产品、数据与技术团队，推进跨部门资源整合与高效协作。","1、本科及以上学历，5年以上互联网用户增长或数字营销相关经验，至少2年以上团队管理经验，有头部平台或全球化App投放操盘经验者优先；
2、精通国内主流投放渠道（如巨量引擎、腾讯广告、百度、华为/小米等厂商）的算法逻辑与优化方法，同时具备海外主流广告平台（Meta、Google、TikTok等）实际投放与账户管理经验，熟悉不同市场的竞价机制与合规要求；
3、强烈的目标导向意识，具备出色的逻辑思维、数据分析与商业判断能力，能够独立输出深度策略报告、复盘总结与增长建议；
4、熟练掌握数据分析工具与方法（如SQL、Excel、BI系统等），擅长通过归因分析、漏斗拆解、A/B测试等方式驱动决策优化；
5、对全球数字广告趋势、用户获取模式演变有敏锐洞察，具备良好的行业视野与创新意识，有从0到1开拓海外市场投放经验者优先；
6、优秀的沟通协调与项目推动力，能在复杂环境中整合资源、快速落地，具备较强抗压能力与结果闭环意识；
7、有国际化产品增长、本地化运营或跨文化团队协作经验者优先，英语可作为工作语言者加分。",1,张红阳(煦山),,2026 - 01 - 09,2026 - 03 - 29,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260109015d2af6b03e4ed18b9d6fe6e4af0de3&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-私域运营-杭州,,阿里健康-健康平台事业部,中国-浙江-杭州,本科,三年以上,JK-I5,"1、负责健康行业私域拓展，如淘客、微信社群的搭建和运营，为淘客、私域渠道成交规模负责；
2、扩大品牌参与规模、建联并运营淘客团长，锁定相关资源，带来生意增长
3、洞察淘外私域其他可能的生意机会，结合业务策略进行运营策略的迭代。","1、具备私域运营经验，淘客渠道运营经验优先
2、熟悉健康品牌、货品者优先；
3、有韧性能突破，抗压能力强，善于团队协同并能拿到结果；
4、学习能力强，对数据敏感。",1,鲁天天(天阿),,2026 - 01 - 09,2026 - 02 - 26,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026010973633377bc85431fb1d2aa89e2f52060&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-HRG-产研团队,,阿里集团-高德,中国-北京-北京,本科,三年以上,P6,"1. 了解业务部门的战略，对业务进行组织诊断，为业务部门的战略落地提供建议、规划并参与实施；
2. 为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；
3. 在业务部门内推动公司层面的变革，负责完善业务部门人力资源的制度、流程、体系，提升人力资源运作效率；
4. 传承公司文化，发扬价值观，建设沟通渠道，保证组织的持续健康成长；
5. 主动与总部管理层、一线主管及员工进行多种形式的接触和有效沟通，保证信息在不同层级间的有效传递。","1. 大学本科或以上学历；
2. 2年以上人力资源工作经验，有互联网公司或HRBP/HRM产研团队支持经验优先考虑；
3. 熟悉人力资源的流程体系，在招聘/绩效管理/员工关系/组织发展/人才培养等某一模块有丰富的经验；
4. 具备较强的逻辑思考能力、学习能力强，抗压性能力强；
5. 善于沟通，良好的协调能力，责任心强，具备较强的影响力和自驱力。",6,张红阳(煦山),,2026 - 01 - 09,2026 - 02 - 25,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601082cb0ade3c2724bc1953dcca35afea003&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
平头哥-合规&法务专家-上海,,阿里集团-平头哥,中国-上海-上海,硕士,五年以上,P7,"1、对影响芯片行业的国内外重要合规领域法律法规变化、案例进行追踪和分析研究，结合公司实际情况并拉通上下游各业务团队，输出风险预警和应对预案。
2、独立支持芯片产品的法务工作，为技术与产品研发、销售提供法律合规及风险防范建议。并可领导外部律师完成复杂法律问题的研究分析。
3、基于公司业务运行架构和模式，识别公司在研发或经营活动中的系统风险，内部拉通各相关方形成解决方案，并在各团队有效落地。","1、法律/法学硕士，且通过司法考试。
2、5年以上知名律所或芯片企业的出口管制和制裁领域工作经验，其中企业工作经验不少于3年。
3、在重点合规领域有独立工作能力，掌握治理框架，并有出色的学习/分析能力迅速完成对新规的法律研究、风险预警和应对预案。
4、拥有较强的跨团队沟通及协作能力，能够作为PM推动合规项目开展和方案落实。
5、有重大合规事件的应急处置经验者优先。
6、流利的英文读写与口语沟通能力。",1,姚梦舸,,2026 - 01 - 07,2026 - 01 - 18,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026010702f1f3f2e381494c9bac452ff38207c1&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
天猫事业部-结算产品经理-家享生活天猫优品,,淘天集团-天猫事业部,中国-浙江-杭州,本科,五年以上,P7,"天猫优品结算产品的整体规划设计和落地。
1、负责天猫优品预算管理产品的迭代优化，包括预算事前规划、事中监控和事后分析评估，推动全面预算管理的业务预算系统覆盖率及预算管控效率的提升。
2、负责门店、供应商及服务商的结算产品建设，涵盖采购货款、返利类费用、服务类费用及处罚类费用的计费、账单、结算及发票能力的升级，对资金效率和各角色对账体验负责。
3、负责金融&支付产品能力建设，包括门店POS、门店H5商城、优品线上官旗及门店采购链路的金融支付场景设计与优化，满足多场景下的支付需求，提升用户体验和支付效率。
4、深入理解业务需求，协调技术、财务、运营等团队，推动结算、支付、金融相关功能的开发、测试及上线，确保产品功能符合业务目标。","1、本科及以上学历，5年以上互联网产品管理经验，有预算管理、结算系统、支付产品相关经验者优先。
2、具备良好的沟通协调能力，能够与技术、财务、运营等跨部门团队高效合作，推动项目落地。
3、具有较强的逻辑思维能力及问题解决能力，能够快速识别业务痛点并提出解决方案。
4、认同阿里价值观，有强烈的资金安全意识，强烈的责任心和自驱力，良好的团队协作能力。",1,赵滢瑄(阳沁),,2026 - 01 - 09,2026 - 03 - 21,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026010798eb7c6e5e744844af4cf59fd9abf70f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-居家到检业务运营专家-杭州,,阿里健康-消费医疗&互联网医院事业部,中国-浙江-杭州,本科,八年以上,JK-I6,"1.负责居家到检/护士上门类业务，通过行业趋势洞察，对居家到检/护士上门业务的品类规划、履约网络、服务质控等全链路设计，实现既定的业务目标
2.制定用户增长策略，挖掘到检类用户的人群画像，通过线上品类交叉运营、线下媒体投放推广等方式实现用户增长
3.服务精细化运营，通过效率提升降低履约成本，优化用户体验，提升用户留存","1.本科及以上学历，熟悉 IVD 行业，有过IVD 试剂、仪器、实验室等工作经历且具备互联网运营能力的优先；
2.有很强的目标感、责任心和组织影响力，善于推动工作快速落地；
3.具备优秀的项目管理能力。",1,曾柳(羽墨),,2026 - 01 - 06,2026 - 03 - 22,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260106de10fc946b6f419884be21ea21cf5e49&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
健康-院外医学专家-杭州,,阿里健康-消费医疗&互联网医院事业部,中国-浙江-杭州,本科,七年以上,JK-I6,"1、方案整合：开发融合营养、代谢、肠道健康、压力管理、运动处方等功能医学模块的综合干预方案；
2、诊所赋能：为合作诊所提供医学培训、诊疗路径设计、患者教育材料及效果评估工具；
3、KOL与渠道建设：深度链接功能医学医生、生活方式医学认证医师、抗衰专家、健康管理师等关键意见领袖（KOL）及机构；
4、临床证据支持：协同医学事务团队，收集真实世界数据（RWD），优化方案有效性与安全性反馈；","医学、临床营养、公共卫生、健康管理或相关专业硕士及以上学历；
5年以上功能医学和/或生活方式医学领域实战经验，熟悉IFM（美国功能医学会）、ACLM（美国生活方式医学会）等体系；
有直接服务或合作高端私人诊所、抗衰老中心、整合医学门诊的经验；
熟悉慢性病、亚健康、抗衰老、代谢优化等场景下的干预逻辑；
具备优秀的跨学科沟通能力，能将复杂医学概念转化为临床可执行方案；
在中国功能医学/生活方式医学圈层拥有扎实人脉资源（如医生、培训导师、协会成员等）。",1,曾柳(羽墨),,2026 - 01 - 06,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260106d4542a742ad646f4af1b61e59397c2ed&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
业务技术-大模型推理与调度研发工程师-AI infra,,淘天集团-业务技术,中国-浙江-杭州,本科,二年以上,P7,"立足 AI Agent 业务的研发运维全链路视角，从稳定、体验、效率和成本这四个方面持续优化模型推理服务，支持好 AI Agent 业务。
● 异构算力调度与算力池化（核心）：负责 GPU / CPU / 其他异构算力的统一调度与算力池化。设计并实现弹性伸缩、资源混布、潮汐资源盘活、Quota 管理等能力，提升整体资源利用率。
● 推理调度策略与性能优化：构建并优化推理调度与运行策略（如 KV Cache 管理、并发与队列控制、资源隔离），保障高峰流量下的低延迟与稳定性。
● 资源编排与多云治理：构建多机房、多地域、多云环境下的统一调度策略，实现跨地域容灾与就近访问。
● 推理框架与系统优化：协同底层网络 / 存储团队，优化 RDMA、高速网络、缓存 / 存储路径，充分释放大规模集群算力。
● 平台稳定性与问题治理：
○ 负责推理平台的稳定性建设：治理推理服务常见稳定性问题，建设推理平台的 可观测与稳定性体系、压测与容量规划、问题定位与根因分析等能力，并持续降低 MTTR。
○ 在多异构资源（GPU、CPU、NPU 等）、多云环境、复杂网络场景下，实现快速问题诊断、隔离与恢复。","1. 2年及以上工作经验，本科及以上学历，计算机/电子/自动化/软件等相关专业，有AI工程优化经验的优先；
2. 掌握C/C++，精通算法与数据结构，熟悉Python；
3. 理解大模型推理基本原理，熟悉 LLM 推理流程、上下文管理与性能瓶颈；有推理服务或计算密集型服务的 稳定性治理、容量规划或性能优化 实践经验；
4. 熟练GPU的高性能计算优化技术，深入理解计算机体系结构，熟悉并行计算优化、访存优化，低比特计算等技术；
5. 熟悉至少一种主流推理框架或引擎（如TensorRT-LLM、Orca、vLLM等），理解其运行特性与稳定性风险；了解主流LLM模型，有LLM模型加速优化经验者优先。",2,蒋笑彦(饮夏),,2026 - 01 - 05,2026 - 03 - 13,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601057b00e06a785e4037bcba5021069be1bc&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
天猫事业部-商家AIGC产品专家-杭州,,淘天集团-天猫事业部,中国-浙江-杭州,本科,八年以上,P7,"我们正在寻找一位对AIGC技术与电商业务高度敏感、兼具产品洞察与执行力的同学，加入淘天AI团队，全面负责淘宝天猫商家端AIGC产品的设计、落地与规模化推进工作。该岗位将聚焦AIGC在商家商品素材制作与经营提效环节的实际应用，如图文生成、视频制作、营销文案、智能模板设计等，以技术驱动素材生产力变革，助力商家实现降本增效与经营创新。

核心职责：
1、负责AIGC产品在淘宝天猫商家端的整体规划与关键场景落地，包括但不限于商品图文生成、营销卖点提炼、视频自动生成、智能设计工具等
2、制定AIGC产品的运营策略与增长路径，提升商家使用规模、创作效率与内容质量
3、协同算法、研发、设计、运营等团队，推动产品从概念到上线及规模化应用的全流程落地
4、跟踪AIGC技术发展趋势与行业应用案例，探索AIGC在电商场景下的创新产品形态与商业模式

岗位亮点：
1、投身于AIGC与电商结合的前沿领域，参与构建下一代商家智能创作基础设施
2、直接面向海量商家真实需求，打造具有行业影响力的AIGC产品
3、与顶尖的算法、工程团队紧密合作，深度参与技术到产品的价值转化全过程
4、团队氛围开放、成长速度快，在战略级赛道中获得全面的能力提升与职业发展空间","1、3年以上互联网产品经验，有AI相关产品、内容工具或创作者生态产品经验者优先
2、对AIGC技术（如生成式AI、多模态、Diffusion模型、大语言模型应用等）有浓厚兴趣与基础认知，具备快速学习能力
3、熟悉电商内容生态与商家经营流程，对商家在内容创作、营销推广等方面的痛点有深刻理解
4、具备优秀的产品规划、用户洞察与数据分析能力，能独立负责复杂产品模块

加分项：
1、有成功的AIGC产品、智能创作工具或内容平台产品从0到1经验
2、具备一定的视觉设计、文案创作或视频制作相关知识，对内容质量有判断力
3、熟悉淘宝/天猫商家后台、逛逛、直播等内容场域与工具
4、有To B产品经验或服务过电商商家、内容创作者者优先",2,李然(里然),,2025 - 12 - 31,2026 - 03 - 15,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202512312d98be443ea9459887237b43066cc8a4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
