职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
钉钉-AI全栈工程师-开放平台,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P6,"1、负责 AI 驱动应用的核心架构设计与开发，打通从前端交互、后端服务到 AI 模型的全链路；
2、构建稳定、高可用、可扩展的后端服务，熟悉分布式系统、消息中间件、远程调用等核心技术，支撑复杂的业务逻辑和高并发场景；
3、集成和调用大语言模型（LLM）及其他 AI 能力，探索并实践 Prompt Engineering、 Context Engineering、SDD等前沿 AI 技术，持续优化模型效果与成本；
4、结合业务场景进行技术选型和业务建模，能设计和实现复杂的 AI 应用流程（Agentic Flow 或AI Workflow等）；
5、具备技术 Owner 意识，能够主导关键模块的设计与落地，并能辅导团队成员，共同完成项目目标。","1、本科及以上学历，编程基础扎实：精通 Python/Java 中至少一种后端语言（Python 为首选）；
2、全栈能力：可以利用AI具备前后端开发能力；
3、对 AIGC、大语言模型有浓厚兴趣和实践经验，有1年以上 AI 项目实战经验；
4、熟悉 LangChain/LangGrpah/Google ADK/OpenAI SDK/MCP/Skills/A2A 等 AI 技术的一种或者多种。",3,王姝雅(零曦),,2026 - 02 - 26,2026 - 05 - 24,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226fbff2e7c9c374ac5855a9b68ff5e1748&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
平头哥-AI 框架技术专家-北京,,阿里集团-平头哥,中国-北京-北京,硕士,十年以上,P7,"1. 在AI 芯片上适配SOTA开源框架和SOTA模型，分析解决适配过程中发现的功能、性能与精度问题，为AI芯片客户提供问题支持和解决方案
2. 对SOTA模型和框架做原理分析，竞对分析、构建差异化产品竞争力，贡献开源社区提升产品影响力
3. 构建SOTA模型和框架端到端粒度、算子粒度、Kernel粒度的仿真框架，在芯片设计阶段提前发现精度、性能问题，保障芯片设计成功","1. 硕士以上，计算机科学相关专业， 至少8+年AI领域相关的开发经验。
2. 熟练掌握Python、C/C++编程语言，掌握AI Vibe Coding技术，良好的逻辑思维与问题分析能力
3. 熟悉SOTA大语言模型、多模态模型、VLA模型的架构与原理
4. 熟悉主流深度学习框架Pytorch、Tensorflow，分布式训练框架Megatron、DeepSpeed ，推理框架VLLM、SGlang等；增强学习框架 Slime 、roll 等
5. 熟悉CUDA、Triton、Tilelang 并行编程技术
6. 责任心强， 能够跨团队/部门协作分析与解决业务场景中AI软硬件全栈的功能、精度、性能问题达成产品化目标",3,孔琦琦(林瑔),,2026 - 02 - 26,2026 - 05 - 25,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226dab640e8b15c4373affac1e30a40117e&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
平头哥-AI计算加速软件专家-北京,,阿里集团-平头哥,中国-北京-北京,硕士,十年以上,P8,"1. 设计开发高性能计算加速算法，包括但不限于MoE、Attention、卷积、矩阵乘及相关的融合和量化。
2. 基于硬件特性进行极致性能分析和优化，制定通用性能调优策略，适配和调优各种主流框架和开源代码。
3. 深度分析各种实际应用，如生成式AI/大语言模型推理和训练等场景，发明和改进能发挥硬件优势的加速算法。
4. 和其他团队紧密合作，参与并影响芯片架构、编程模型和软件平台的设计和路线演进。","1. 计算机/电子/数学相关专业硕士及以上学历，8年或以上相关从业经验。
2. 精通 C/C++，具备出色的程序开发、设计、调试和调优能力。
3. 精通各种基本算法，对操作系统、计算机体系结构有深入的理解。
4. 良好的沟通和解决问题能力、时间管理能力、自我驱动能力、英文读写能力。
5. 满足以下一种或多种条件者从优：
ꔷ 具备大模型推理或训练相关开源模块的开发经验，如 cutlass、Flash-Attention、FlashInfer、MoE、DeepGemm 等；
ꔷ 熟悉主流框架，如 Pytorch、Tensorflow、vllm、sglang、TRT-LLM 等；熟悉大语言模型算法，如 LLaMa/Qwen/DeepSeek 等；
ꔷ 具备坚实的并行编程基础：有 CUDA/OpenCL 相关项目经历；
ꔷ 参与卷积、矩阵乘、矩阵分解、Normalize 等 AI 相关算子开发调优经验；
ꔷ 深入参与软件架构设计和优化、性能分析和调优的项目经验；
ꔷ 对可编程芯片（如 GPU/NPU/TPU/CPU）架构有深入理解，或有对应研发经历；
ꔷ 对数值计算、线性代数相关算法有深刻的理解；",13,孔琦琦(林瑔),,2026 - 02 - 26,2026 - 05 - 25,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602261e662209c21b43b2ab9753883bb45886&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-商家商品产品专家-信息业务中心,,阿里集团-高德,中国-北京-北京,本科,五年以上,P7,"1. 负责建设商家基础发品能力，结合AI能力实现全行业不同商家的发品链路优化，提升商家发品效率和规模的提升。
2. 通过商品结构化规则梳理，制定商品发品的准入准出规则，实现商品发品质量的有限管控，以发品质量作为重要输出指标。
3. 数据+AI驱动实现商家商品诊断与反馈机制建设，深度洞察商家商品需求，实现围绕价格、库存、类型等多纬度组合的平台型商品解决方案","1. 有5年以上互联网产品相关工作，在本地生活领域的商品发品、商品规则管控等方面有垂直工作经验
2. 具备扎实的数据分析思维、产品设计、项目管理等能力，熟练掌握SQL等数据分析工具
3. 有较强的商业敏感度和平台全局观，创新能力强，思路清晰敏捷，自我解决问题以及沟通协作能力强",1,杨曦(九薇),,2026 - 02 - 26,2026 - 05 - 18,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226afd73c430b7f44b7a2b6f231c219b123&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-商务总监（追溯码）-杭州,,阿里健康-追溯码业务部,中国-浙江-杭州,本科,八年以上,JK-I8,"1、负责公司指定客户的客情关系维护，努力提升客户满意度；
2、熟悉药企流向数据应用场景，能够深入挖掘客户需求并与公司产品结合，形成持续稳健的业务增长，完成销售指标；
3、开发潜在客户群体，向新客户介绍公司的产品、技术和服务，并提供完整的解决方案，完成新客户开发；
4、具备项目运营经验，负责项目投标、合同洽谈及老客户合同续约；
5、具有市场敏锐度，能够主动收集市场信息、与客户进行调研及反馈，参与产品体系迭代；","1、本科以上学历，8年以上工作经验，有DDI相关工作经验
2、了解客户需求，推动双方沟通；
3、能主动获取资源，有独特的商业见地，提出有价值的商业策略；
4、销售结果导向、有较强的商务谈判能力；
5、具有较好的学习能力，有客户化思维，愿意面对挑战和变化。",1,鲁天天(天阿),,2026 - 02 - 26,2026 - 04 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226cd4cae4cef2d43ee94050380cc6cc2af&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-AI搜算法工程师-杭州/北京,,淘天集团-智能算法产品事业部,"中国-北京-北京,中国-浙江-杭州",硕士,三年以上,P7,"1.负责LLM与搜索引擎的深度融合，推动AI搜索技术迭代，通过RAG、Agent等技术提升用户搜索体验；
2.参与AI搜索模型全链路能力建设，聚焦Post-training（SFT、RLVR、Agentic RL、CoT）等核心技术；
3.构建数据驱动的Agentic闭环链路，支持智能体推理、Case分析、训练数据合成与自动化评估，实现搜索效果的持续优化；
4.持续跟踪AI搜索领域最新技术动态，推动研究成果沉淀为技术文章、专利或学术论文，打造团队技术影响力；","1.计算机、人工智能、数学等相关专业硕士及以上学历；
2.扎实的编程基础，熟练掌握PyTorch，熟悉llama-factory, VeRL/ROLL等训练框架；
3.深入理解LLM/MLLM原理，具备大模型Post-training（SFT、RLHF/RLVR）实战经验，熟悉RAG、Agent技术栈；
4.具备Agentic Search理念，能够将Agent框架与电商搜索场景结合，形成完整技术闭环；
5.在NeurIPS、ICLR、ICML、SIGIR、KDD等顶会发表论文，或具备开源项目贡献、竞赛获奖经历者优先；
6.强烈的好奇心、自驱力和业务敏感度，善于在复杂业务中挖掘技术突破点并推动落地。",2,史肖(敏曦),,2026 - 02 - 27,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225e50000bd52344f1594ba8f86f829fcd3&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里妈妈-高阶储备-杭州/北京,,淘天集团-阿里妈妈,中国-浙江-杭州,本科,七年以上,P8,,,1,应佳健(蕴哲),,2026 - 02 - 25,2026 - 04 - 19,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225aead4e92d60e4aa89954e740b21a25e2&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-内容理解算法-杭州*,,淘天集团-智能算法产品事业部,中国-浙江-杭州,硕士,一年以上,P6,"1、参与大模型在商品领域落地项目，涵盖商品内容理解/摘要/商品关键信息提取与百科生成等各项工作。
2、参与商品理解算法基础能力建设与算法创新，包括但不限于商品标签建设、文本分类、检索匹配等，探索前沿技术并落地用户产品。
3、参与各垂直行业专业领域知识库建设，通过RAG、Agent等技术提升用户购买决策体验，聚焦Post-training（SFT、RLVR、Agentic RL、CoT）等核心技术。","1、硕士及以上学历，机器学习、CV、NLP、数学等相关专业，有国际顶会论文发表优先。
2、有大规模机器学习，商品理解，个性化推荐，广告，信息检索，自然语言处理相关领域工作经验，对商品领域有深入研究者优先。
3、具备扎实的数据结构、算法和编码能力，精通至少一种编程语言，C++/python/java等。
4、深入理解LLM/MLLM原理，具备大模型Post-training（SFT、RLHF/RLVR）实战经验，熟悉RAG、Agent技术栈。
5、有强烈的技术热情，有皮实乐观、不畏挫折的心态，具备优秀的分析和解决问题的能力。
6、具备知识图谱、多模态大模型、搜索推荐领域相关经验同学优先。",2,舒文凯(尘勋),,2026 - 02 - 24,2026 - 04 - 29,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260224ef6c3a17bd9f4e0db7535f881e917543&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-内容运营专家-信息业务中心,,阿里集团-高德,中国-北京-北京,本科,三年以上,P7,"1、对于内容行业有系统性的理解，洞察内容行业的用户需求、发展趋势、创作者诉求，对于运营策略有方法论和系统思考；
2、结合高德地图优势，探索本地生活相关领域（美食、酒旅、汽车服务、休闲娱乐等）的内容生态建设，为用户出行决策提供用户价值；
3、在创作者、内容发布、消费形式、分发场景等各环节寻找切入点，探索地图内容的差异化优势，打造有高德特色的繁荣内容生态。","1、本科及以上学历，3年以上内容生产与分发相关经验，具备头部内容平台工作经历者优先；
2、了解各内容平台的市场格局和产品特点，具备敏锐洞察力和因地制宜的能力，熟悉行业内领先的运营方法和打法策略；
3、有创业精神，学习能力强，逻辑性好，具备良好的沟通能力。",2,杨曦(九薇),,2026 - 02 - 24,2026 - 05 - 18,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602246df05294bcb546f3aec12ad058586cc7&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-商家端产品专家-信息业务中心,,阿里集团-高德,中国-北京-北京,本科,五年以上,P7,"作为商家业务产品，聚焦于中长尾商家的全链路产品体验与价值挖掘，负责商家入驻、在线商业化转化及商家活跃等关键产品能力建设，助力平台商家生态的健康增长。
核心职责：
1.负责商家在线商业化转化路径的动线与链路设计，通过对免费商家入驻→付费→续费的全流程梳理，挖掘价值切入点，持续优化转化效率；
2.负责中长尾商家入驻流程与活跃场景的产品设计，提升入驻体验与商家参与度；
3.主导业务相关产品的需求分析、功能规划与迭代落地，确保产品体验与业务目标的高度统一；
4.参与中长尾商家业务的整体规划与策略制定，推动产品在体验、效率与商业化方向的持续创新。","1.5年以上互联网产品经理经验，具备B端平台或商家类产品经验者优先；
2.熟悉在线商业化转化体系，能够独立设计并优化用户付费链路，具备成熟的转化提升方法论；
3.有C端产品思维者优先，善于从用户视角出发设计高效、流畅的产品路径；
4.具备较强的数据驱动意识与分析能力，能通过数据发现问题、验证假设并推动产品迭代；
5.逻辑清晰、自驱力强，具备良好的项目推动能力和跨团队协作能力。",1,杨曦(九薇),,2026 - 02 - 24,2026 - 05 - 17,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260224c56ccad31baa4a40820831128fe4ae2a&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
