职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里云智能-中台运营（客户管理方向）-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,三年以上,P7,"1、客户管理与运营机制：
负责百万级客户的全生命周期运营， 执行客户分层管理，实现客户资源与销售资源的合理匹配；
制定针对不同层级客户的差异化跟进策略，支撑业务销售增长；
做好客户跟进管控，持续优化客户管理系统（CRM），进行周期性客户盘点（入库、流转、释放），制定对应的客户规则，实现高效的流转跟转化；
分析客户数据，细分客户群体，建立和完善客户标签体系，为精准营销和个性化服务提供数据支持。
助力业务目标达成 ，通过与业务及各个协同团队的合作，助力业绩目标达成 。就业务过程中的关键阶段进行重点保障，及时暴露政策及策略落地的过程风险及问题，并牵引各方资源，推动生成系统性解决方案。
2、运营策略规划与执行效率提升：
承接公司/公共云层面的关键业务策略的制定，基于关键业务策略，完成客户管理目标自上而下的拆解，设计并实施客户运营策略，包括但不限于客户生命周期管理、活跃度提升计划、沉默用户唤醒策略等。
负责客户运营板块的政策、规则制定及发布、review、更新、废止 。
通过专业运营能力提升组织效能，减小业务推进的摩擦力，结合实战和业务发展趋势，对现有规则机制进行持续优化和创新，通过机制驱动运营能力和整体效率的提升 。
通过公司级/事业部级的跨团队项目/战役管理，协调各方资源进行高效整合，推动业务进展。
3、数据化运营与分析：
运用数据/AI分析工具（如Excel、SQL、BI工具等）对海量客户运营数据进行深度挖掘，定期出具运营报告，分析客户行为模式，评估运营效果。基于数据分析结果，持续优化运营策略和流程，提升客户转化率和整体运营效率。
4、跨部门协作与沟通
与销售团队紧密合作，了解前线反馈，协同制定更贴合销售团队的客户运营方案。
制定客户跟进冲突判定规则，判定争议客户归属，沉淀常见冲突场景。
推进客户运营版块的合规能力建设，提升风险识别及管理意识，并能有效通过管理规则，平台系统及运营等手段综合控制财务、合规及客户满意度等多方面的风险，降低业务合规风险。
协同中后台及技术团队，面向一线作业场景优化管理制度、流程及系统工具，保障业务流程闭环。","1、工作经验：至少3年云赛道或互联网运营相关工作经验，有大规模客户运营经验者优先。
2、技能要求：熟悉Excel高级功能，掌握SQL基本操作，了解数据分析工具和方法，具备良好的数据解读和汇报能力。
3、软技能：出色的沟通协调能力和团队合作精神，具备较强的问题解决能力和创新思维，能够在快节奏环境中有效管理优先级。对云赛道有深刻理解，对提升客户体验和转化率充满热情。
4、风险意识：能监控日常工作中的项目级风险、合规风险、廉正风险等，并及时预警反馈。",1,严莉(勤茉),,2026 - 02 - 27,2026 - 04 - 30,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260227476331757a59485fba84b21bba6cbe50&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-采购专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1、采购需求确认
沟通确认采购需求和具体采购项目详细要求，分析和评估采购需求的合理性和可行性，确定采购项目的预算和时间计划，并与内部部门达成一致
2、采购谈判与合同管理
组织与供应商的商务洽谈和采购谈判，管理采购合同的签署和执行，确保合同条款的合规性和有效性，跟进与监控合同履行情况
3、成本控制
确保采购项目在预算范围内进行，在谈判中争取最有利的采购条件和价格，分析采购成本结构，制定成本控制策略和措施，降低采购成本、提升采购效率
4、采购流程优化与合规
遵循公司的采购政策和合规要求，审查和优化采购流程，确保采购过程高效、透明和规范，参与采购流程的数字化和自动化改进，提升采购效率","• 5年以上云计算/ICT/运营商行业的采购管理工作经验，有互联网行业以及数据中心基础设施硬件行业产品/项目管理/供应链/采购工作经验优先，有AI相关产品/硬件背景优先，本科及以上学历，专业不限。
• 掌握采购成本结构的分析方法，能找出成本的主要影响因素并提出成本优化和控制的建议，对行业以及市场信息/数据敏感，能独立负责重大AI相关项目寻源，规划以及过程管理，对结果负责。
• 安全合规风险意识强，能独立管理采购合同的签署和执行，发现和协同解决潜在的法务合规问题，确保合同的合规性和有效性。
• 能独立参与复杂的商业谈判，运用各种谈判策略和技巧，达成较为有利的采购条件和合作条款，维护公司利益，推动谈判成功。
• 对AI硬件产品熟悉，对硬件行业熟悉，可对接产品研发完成选型以及优选配置确认，拉通处理相关质量问题。
• 抗压能力强，有较强沟通与协调能力。英语可作为工作语言优先",5,蔡廷浩(闻卿),,2026 - 02 - 26,2026 - 05 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226164507cdb8b14d63a71f32fcf7e5700a&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-公共云IT硬件采购专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1、分析和评估采购需求的合理性和可行性，确定采购项目的预算和时间计划，寻找符合要求的供应商资源；
2、熟悉芯片\存储等品类的产品特点，对市场主要供应商有着深入了解，对整体市场动态行情有着足够的信息支持和判断经验；
3、组织与供应商的商务洽谈和采购谈判，管理采购合同的签署和执行，确保合同条款的合规性和有效性，跟进与监控合同履行情况；
4、确保采购项目在预算范围内进行，在谈判中争取有利的采购条件和价格，分析采购成本结构，制定成本控制策略和措施，降低采购成本、提升采购效率；
5、遵循公司的采购政策和合规要求，审查和优化采购流程，确保采购过程高效、透明和规范，参与采购流程的数字化和自动化改进，提升采购效率；
6、支持研发、供应、质量等部门完成项目交付，保障供应安全；","1、本科及以上学历，具备云计算/ICT/运营商行业的采购管理经验
2、5年以上供应链及采购经验，有电子制造业ODM或电子元器件采购经验优先；
3、掌握采购成本结构的分析方法，能找出成本的主要影响因素并提出成本优化和控制的建议
4、能独立管理采购合同的签署和执行，发现和协同解决潜在的法务合规问题，确保合同的合规性和有效性
5、能独立参与复杂的商业谈判，运用各种谈判策略和技巧，达成较为有利的采购条件和合作条款，维护公司利益，推动谈判成功
6、具有较强的沟通协调能力，抗压能力强",2,蔡廷浩(闻卿),,2026 - 02 - 26,2026 - 05 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602264725f1b32cad4a1288938d506ede749a&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-数据中心碳管理与能源采购专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1、基于AI业务发展，对数据中心用电业务进行商务采购工作，熟悉若干省、市的供电、用电、电交易等多种行业现状，能够设计一定周期的数据中心用电的商务采购策略，核心解决用电成本，承接考核指标。
2、组织与供应商的商务洽谈和采购谈判，管理采购合同的签署和执行，符合企业管理要求、采购管理要求。同时具备良好的商务合约商谈技能，并完成相关的合同签约、条款洽谈等。并能跟进与监控合同履行情况，对履约管理有很好的策略与结果。
3、具备掌握对国家、部分地区在能源新技术、新产业或者新动向的敏锐洞察，能提供良好的解决方案，提升能源竞争力。
4、负责跟踪研究电力市场、碳市场相关政策规则，分析研判业务趋势和机会；协同与上下游合作伙伴达成业务目标。","1. 本科或以上学历，拥有5年以上云计算/ICT/运营商行业的采购管理经验或售电、能源采购相关工作经验。
2. 熟悉国内电力体制改革、电力市场交易规则、碳市场政策。了解电费构成及计量方式，了解工业用户办电、用电流程。
3. 能独立管理采购合同的签署和执行，发现和协同解决潜在的法务合规问题，确保合同的合规性和有效性
4. 能独立参与复杂的商业谈判，运用各种谈判策略和技巧，达成较为有利的采购条件和合作条款，维护公司利益，推动谈判成功。",1,蔡廷浩(闻卿),,2026 - 02 - 26,2026 - 05 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260226b78b211000204b49b319a1767e8a889b&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-SAP 技术服务工程师-全球战略伙伴部,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"● 作为阿里云SAP技术支持专家以及云基础设施技术专家，为阿里云上的SAP云产品（SAP Cloud ERP/SAP Cloud ERP Private，SAP BTP等）提供专业的技术支持。
● 面向在阿里云上本地部署SAP系统的客户，提供针对阿里云上SAP系统部署，及其高可用部署方案的专家级技术支持，保障其 SAP 云环境的可用性和稳定性。
● 作为Level 1/Level 2技术服务工程师，承接并处理服务工单，保障响应时效，分析诊断技术问题，识别根本原因并给出解决方案，解决客户疑难，保障产品的顺利使用。
● 作为SAP BASIS专家，和云产品团队一起，完成阿里云ECS实例的SAP认证工作。
● 与云产品开发团队紧密合作，反馈客户需求和使用体验，推动云产品持续改进。与客户建立良好沟通，理解客户的需求，确保高水平的客户满意度。
● 撰写和维护内部知识库和技术文档，包括常见问题解答、用户手册和最佳实践指南。","● 计算机科学、信息技术、软件工程或相关专业本科及以上学历。
● 5 年以上本地/云上SAP BASIS 实施或运维经验，深入掌握 SAP NetWeaver、SAP ABAP应用服务器，SAP HANA数据库等核心组件的安装、配置、升级与性能调优。
● 熟练掌握云上 SUSE Linux for SAP 高可用解决方案的配置与运维和问题诊断。
● 具备扎实的问题分析与解决能力，能在高压环境下快速拆解复杂技术问题并提供有效方案。
● 具备优秀的中英文沟通能力，能流畅进行技术交流与跨团队协作；
● 具有强烈的客户导向意识，主动理解业务需求并提供前瞻性技术支持与优化建议。
● 以客户为中心，具备良好的服务意识，能够理解并满足客户需求。

加分项
● 有 SAP 系统在主流云平台（阿里云、AWS、Azure）的部署、运维或迁移项目经验；
● 了解 SAP Cloud ERP（GROW）/SAP Cloud ERP Private（RISE） 或 SAP BTP 技术平台的架构，具备相关项目的实施经验者优先；
● 具备SAP Enterprise Architect、Solution Architect - BTP、S/4HANA Cloud Private Edition等相关认证优先；
● 具备阿里云、AWS、Azure等主流云计算平台的专业认证优先。",1,黄雪纯(夏知),,2026 - 02 - 26,2026 - 05 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602260aea3a9447ea4f19aa6729622df77517&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-创意设计师（AI Agent 出海产品方向）-上海,,云智能集团-阿里云智能,中国-上海-上海,本科,二年以上,P7,"Steam 部门设立于2025年1月，正如蒸汽机（Steam Engine）在工业革命 1.0 中所象征的创新开端，我们也希望以此之名，积极探索云与 AI 结合的产品方向。
在当前大模型能力日新月异的情况下，唯有坚持自己的核心价值主张和对未来的判断，且面向半年至一年后的大模型能力打造应用产品，才有一战的可能。对于大模型领域的未来进展，我们相信:
1) 大模型的智商会快速接近乃至与人类齐平；
2) 大模型的多模态理解能力，特别是视觉能力将得到长足发展；
3) 在1和2前提下，信息处理类工作将最终被 AI 接管，大量替代真人员工。
对于阿里云如何做到云+ AI，我们认为""云的最大客户会是 AI""，我们的行动路径是让更多现实世界的工作量从“人类脑力劳动”转移到“云端 AI 消耗的计算资源”。
在这些认知下，我们确定了“高效完成重复任务，完整替代人类工作”的产品目标，如果你也相信这个未来，欢迎上船。

1、品牌视觉体系建设：主导 AI Agent 出海产品的品牌视觉语言与整体设计调性，打造差异化的品牌识别度。
2、运营与营销设计：负责海外市场的运营推广物料规范与设计，包括平台宣传、Agent 发布展示、创作者招募等多样化营销素材。
3、品牌传播与对外展示：设计并优化官网视觉、社交媒体内容、商务物料等对外传播载体，提升品牌影响力。
4、体验与创新探索：与产品、运营团队紧密协作，探索 AI Agent 行业的前沿体验创新，通过创意设计驱动产品差异化与用户共鸣。","1、扎实设计功底：具备出色的平面设计基础与视觉表达能力，能独立完成高水准创意产出。
2、工具与新技术敏感度：熟练掌握 Figma / Adobe Creative Suite，具备使用 AIGC 设计工具的经验与兴趣。
3、体系化经验：有从 0 到 1 搭建品牌视觉体系的成功经验，能够形成方法论并落地执行。
4、行业洞察力：关注 AI Agent 与出海市场的发展趋势，对新兴科技产品与跨文化设计有敏锐的审美判断。
5、加分项：具备海外品牌传播经验，或有与国际团队合作的经历。",1,黄雪纯(夏知),,2026 - 02 - 26,2026 - 05 - 25,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026022614afab231f984c149028aa9a1f38dad6&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-商业技术工程师（AIGC/AI方向BTE）-北京,,云智能集团-阿里云智能,中国-北京-北京,本科,五年以上,P7,"1、负责北京AIGC/AI行业的头部企业业务攻坚和新商机拓展工作；
2、梳理客户规划及云计算需求预算，挖掘新商机并为客户提供有价值的方案，为阿里云在客户的目标结果负责；
3、成为行业专家，建立行业KnowHow，通过新技术、新模式为客户业务带来价值提升，互利共赢 ；
4、和核心客户不同层级人员建立友好互信、长期的合作关系，做深做透AIGC行业。","1.、大学本科及以上学历，3年以上大客户拓展经验，有AI、公共云项目者优先；
2.、对AI有浓厚兴趣，对大模型行业有基本认知，且有较强的学习和思考能力、较强的市场洞察和分析能力；
3.、具备良好的职业素养，责任心、团队协作、服务意识强，勇于挑战，敢于竞争，善于开拓创新。
备注：持有阿里云ACA/ACP/ACE认证证书者优先",1,韩虎(连易),,2026 - 02 - 26,2026 - 05 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026022659f1717b769d46aba655973442551d29&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-IDC生态运营管理高级专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P8,"1、IDC生态需求接口：对内对接IDC各团队生态需求，制定生态岗位HC模型，包含岗位职责、配比等信息；对外对接生态运营及采购团队
2、IDC生态运营：基于业务发展预测转换为IDC生态招聘需求，建立全球主要区域生态人才供应及培养体系；同时与生态用工团队配合，结合AI能力提升各岗位工作效率达成价值创造目标
3、生态风险识别及治理：基于业务需求与生态策略，识别生态人才供应及培养等领域的风险，并在业务需求变化时同步关联团队及时调整策略满足新需求
4、生态飞检：以各业务团队定义的HC模型及工作职责为标准，对建设与运营过程中的生态实际岗位工作情况进行飞检与监控，识别廉正合规等领域的风险并推动责任团队治理风险、跟踪至风险关闭
5、生态管理体系建设：优化生态风险管理体系及过程改进措施，识别和确定流程、组织等方面的问题，提供工具、方法等方面的支持，提升生态风险管理效率和质量。
6、团队管理：带领IDC生态风险管理团队，灵活使用AI大模型能力提升生态岗位效率","• 学历专业：本科及以上学历，数据中心等相关专业优先
• 工作经验：8年以上数据中心技术或生态管理经验
• 专业能力：具备生态管理能力，对整个生态管理目标、进度和质量进行有效控制
•专业能力：具备问题解决能力，对数据中心业务有深入理解，能够通过推动机制建设落地，解决职责领域内的关键问题
• 专业能力：持续了解并学习行业内的新技术、新理论、新方法，并能适时应用到所属业务
• 软技能：具备业务运营分析及运营视角，通过数据了解及掌握生态供给及风险情况
• 软技能：理解数据中心业务的全链路业务逻辑，能够有效洞察业务本质",1,蔡廷浩(闻卿),,2026 - 02 - 25,2026 - 05 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225016e69f1d12d404db2c9f0523e49ac7e&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-IDC资源运营经理-模建交付-杭州/北京,,云智能集团-阿里云智能,"中国-浙江-杭州,中国-北京-北京",硕士,八年以上,P7,"1、项目立项和规划
• 【资源运营】基于业务及规划对基础设施资源的供应、变更及退役需求，负责项目立项和规划，实现路径和保障机制设计
• 负责协调项目资源，建立良好的沟通机制，推动核心干系人沟通共识，推动问题上升决策和解决

2、项目全过程管理
• 【资源运营】负责IT项目交付，改造，裁撤等，包括但不限于弱电布线、网络部署、服务器部署、基础设施改造等管理工作
• 【服务运营】负责确定IDC全生命周期的成本基线并监控实际成本，推动专业团队精细运营达成成本目标；梳理IDC团队的业务形态，推动相关团队识别及修复影响IDC业务运营的重大风险
• 负责跟进项目质量、进度、风险、成本等，有效控制风险与进度
•负责管理项目交付团队和现场实施，协调内、外部团队

3、项目管理体系建设
• 持续总结项目实践经验，优化项目管理体系及过程改进措施，识别和确定流程、组织等方面的问题，提供流程、工具、方法等方面的支持，提升项目管理效率和质量。","• 5年以上数据中心IT建设、改造或运维经验
• 3年以上技术管理经验
• 具备项目全过程管理能力，对整个项目目标、进度和质量进行有效控制。
• 通过项目组合的整体交付，完成组织既定目标，实现战略达成。
• 精通数据中心IT业务的全生命周期管理（例如工程建设、弱电、电气等）
• 持续了解并学习行业内的新技术、新理论、新方法，并能适时应用到所属业务
• 专业领域的问题终结者，具备问题总结和平台建模能力
• 能组织进行项目目标制定与分解，形成项目组合规划。
• 能完成项目组合的项目优先级定义、资源分配等工作，确保资源的有效利用。
• 深刻理解数据中心IT业务的全链路业务逻辑，能够有效洞察业务本质。
• 参与数据中心IT业务需求规划，并通过专业能力来提供价值判断和决策支撑。",1,蔡廷浩(闻卿),,2026 - 02 - 25,2026 - 04 - 29,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225a1e95f3babdf4f22b53b6f3a57b72d7f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-解决方案架构师（出海方向）-广州/深圳,,云智能集团-阿里云智能,"中国-广东-深圳,中国-广东-广州",本科,五年以上,P7,"1、负责阿里云华南中企出海客户的售前技术支持工作，支撑销售团队达成业务目标。
2、基于阿里云全球化的技术产品和方案，识别客户关键痛点和需求，为客户设计云上架构和解决方案，引导客户的方案比选，POC功能演示与性能测试，提供可落地的解决方案，支撑客户全球化业务发展。
3、围绕技术领域（数据库、云原生、大数据、人工智能）和细分行业（消费电子、互联网、跨境电商等），洞察市场，孵化行业创新解决方案，沉淀客户案例。
4、与产品研发团队合作，传递来自客户侧的全球化市场需求，共同推动阿里云产品和解决方案的国际化发展。
5、对外发声建立行业影响力，组织内外部行业沙龙和技术分享，传递阿里云在出海业务的最佳实践。","1、大学统招本科及以上学历，计算机专业背景，熟悉国际主流云厂商的产品和技术，具备计算，网络，存储，数据库和企业应用架构设计等专业知识；
2、5年以上相关工作经验，3年云计算架构设计和售前经验，具备较强的需求挖掘和响应能力，具备丰富的云上解决方案规划和设计经验，有云原生技术领域专业知识储备和工作经验优先；
3、具备优秀的沟通交流能力和方案宣讲能力，和客户CXO高层对话的能力，能够主动挖掘客户需求，引导解决方案的设计并推动阿里云产品技术团队进行落地；
4、具备Java/PHP/Go/C++/nodejs/Python等至少一种语言的2年以上的开发经验，有大型互联网应用后端系统设计开发和架构经验优先；
5、有阿里云技术认证ACP（阿里云专业认证）者优先；
6、乐观、主动、激情、担当；具备良好的团队合作精神和快速学习能力、勇于挑战自己、承担压力、开拓创新；
备注：持有阿里云ACA/ACP/ACE认证证书者优先",4,严莉(勤茉),,2026 - 02 - 25,2026 - 04 - 30,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225d3d6c7aaf14b42a592d1406e4d9c0ad5&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
