职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里云智能专有云-前端开发工程师/高级工程师（AI平台）-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,三年以上,P6,"作为前端开发工程师，你将深度参与阿里云专有云AI Platform相关产品的构建，涵盖智能体开发平台、模型训推平台、数据工程平台等核心功能，与产品、设计及后端团队紧密协作，共同打造面向企业用户和开发者的业界一流的 AI 产品体验。你的主要职责包括：
1. 从 0 到 1 参与产品功能的设计与实现，主导前端方案设计，打造简洁、流畅、一致的产品体验。
2. 在复杂的业务场景下，不断演进前端技术栈与工程体系，提升加载速度、渲染性能，确保产品在各种环境、设备的高可用性与流畅体验。
3.关注AI前沿技术发展，探索并推动适合业务的技术和体验创新。","1. 计算机及相关专业背景，熟练掌握计算机基础知识；拥有3年及以上的Web前端开发经验，精通 HTML/JavaScript/CSS，熟练掌握 React、Vue 等主流前端框架，具备良好的工程化思维。
2. 具备复杂、富交互 Web 应用的开发经验，有支撑过 AI 相关产品者优先，如：大模型流式输出页面、agent 开发平台、数据处理平台、智能助手等。
3. 具备优秀的产品体验sense与用户导向思维，关注细节，追求简洁、流畅、一致的交互体验；能够主动与产品经理、设计师协作降低用户认知负担，引导用户有效使用AI功能。
4. 有AI Coding相关实践能力，了解如：vibe coding、spec-driven development等新的开发范式，同时保持对代码质量、可维护性和工程规范的高标准。",1,韩虎(连易),,2026 - 02 - 04,2026 - 04 - 25,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026012724d6833d36d543959c83da47f55fbbb6&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-AI Agent开发平台-杭州/北京,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,三年以上,P6,"1. 设计并开发企业级 AI Agent 开发平台
a. 构建支持推理、规划、工具调用、记忆、知识管理、评测等能力的智能体框架；
b. 设计高效的检索架构（如混合检索、多路召回、重排序），提升 RAG 的准确性和响应速度；
c. 实现高可用、可扩展的后端服务，支撑实际业务场景稳定运行。
2. 推动 AI Agent 落地业务场景
a. 结合企业业务流程，设计端到端的AI应用解决方案
b. 快速验证技术方案，持续优化效果与用户体验。
3. 夯实工程基础与系统稳定性
a. 负责 Agent 系统的部署、监控、性能调优和全生命周期管理；
b. 结合大模型、RAG、Prompt 工程等技术，打造高效可靠的智能应用底座。
4. 跟进前沿技术，驱动创新
a. 关注 AI Agent、多智能体等方向进展，探索新技术在业务中的应用可能。","1. 学历与经验
a. 本科及以上学历，计算机科学、软件工程或相关专业背景；
b. 3年以上后端或平台系统开发经验，有复杂系统架构设计经验。
2. 扎实的工程能力
a. 熟练掌握 Java/Python/Golang（至少一种），具备良好的系统设计和编码能力；
b. 有高并发、分布式系统开发经验，了解服务稳定性保障机制。
3. AI/大模型相关实践经验
a. 具备至少1年以上，大模型应用开发平台（如：Coze、Dify等）使用或开发经验，有实际生产性能优化经验者优先；
b. 具备至少1年以上，真实业务场景大模型应用落地经验（如：问答机器人、智能体代理等），有 multi-agent 框架设计、deepsearch 落地经验或者应用效果优化经验者优先；
c. 能熟练调用和集成主流大模型（如 GPT、Qwen、Claude等），并具备上下文管理、输出稳定性、推理成本等维度的优化经验；
d. 熟练使用各类 AI 工具提升研发效率，包括高质量 Prompt 编写与快速迭代验证；具备跨技术领域（如大模型、后端、数据、运维）的快速学习与实战落地能力，展现出高成长潜力。
4. 工程落地与系统思维
a. 能独立完成从方案设计到上线运维的完整闭环，注重代码质量、可维护性与系统可扩展性；
b. 熟悉容器化部署（Docker/Kubernetes）、日志监控、性能调优等工程实践。",1,韩虎(连易),,2026 - 01 - 27,2026 - 04 - 27,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601279c9ac3e0ee9a4002ba976aa24bfb57be&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-AI开发平台研发专家-数据工程方向,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,五年以上,P7,"负责AIPlatform数据工程平台研发，包括：
1.参与PB级大规模非结构化数据管理系统的设计和实现。
2.参与面向多模态的CPU+GPU高性能分布式计算引擎的设计和实现。
3.参与高质量的数据处理算子研发，包括CPU+GPU算子的调优、迭代。
4.参与产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作。","【必备项】
1、热爱编程，熟悉掌握但不限于JAVA/Python/GO等编程语言中的一种或几种，有良好的编程习惯；
2、熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有一定的理解，并了解XML和HTML语言；
3、熟悉Unix/Linux/Win32环境下编程，熟练使用调试工具，熟悉K8S/Docker等云原生工具；
4、深入了解AI大数据引擎和数据基础设施，熟悉分布式计算引擎，熟悉原理和丰富的实操经验；
5、具备良好的沟通能力和团队合作精神，能够与其他团队紧密合作；
6、具有快速学习新技术和适应新环境的能力；
【加分项】
1、参与过大规模数据存储+计算相关系统的设计。
2、熟悉AI领域数据处理组件的原理，深入了解RayData、Daft等原理，并具备优化实践。
3、熟悉多模态数据处理，有大规模图像、音视频等实战经验。",1,韩虎(连易),,2026 - 01 - 27,2026 - 04 - 27,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260127268ebb9635c94af9a71e71073b4c028c&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-通义万相大模型推理系统研发专家-AI领域,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",硕士,五年以上,P7,"作为通义万相的AI infra训推优化团队，你将有机会参与或负责以下工作内容：
● 对推理引擎的运行时环境进行深度优化，减少延迟，提高整体性能；
● 针对多种异构AI加速硬件，对核心算子进行极致性能优化，结合量化、蒸馏、cache等技术，降低视频推理成本；
● 开发智能的请求调度算法，确保高并发场景下的最优响应时间和吞吐量；
● 持续关注并跟进业界技术发展，积极尝试和探索新的推理优化方向，提出并验证创新性的解决方案。","● 计算机、软件工程、人工智能相关专业硕士及以上学历；
● 扎实的工程能力，优良的编程风格，熟悉Python/C++语言和常用设计模式，具备复杂系统的设计开发调试能力；
● 熟悉深度学习基础理论，理解主流训练/推理框架（如 PyTorch、Megatron、DeepSpeed、JAX 等）的特点与实现细节；
● 熟悉计算机体系结构，具备高性能 Kernel 开发（CUDA / Triton）、推理引擎优化、模型压缩与算力调度等方面的实践经验；
● 良好的沟通能力与团队协作意识，具备快速学习和深入钻研复杂技术问题的能力。

加分项：
● 具备文生视频 / 图生视频等方向的训练或推理优化实战经验；
● 熟悉Diffusion等视频生成体系，并参与过性能优化或工程落地；
● 对视频生成的系统瓶颈、成本模型和工程化落地有深入思考。",1,关雅轩(池轩),,2026 - 01 - 27,2026 - 04 - 11,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260127eae1ecfe46334dfe9906e9ec97d3bfd7&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-大数据&AI平台智能运维算法专家-异常检测/根因定位,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"我们正在寻找具备扎实算法研发能力和系统工程思维的技术人才，共同构建面向超大规模云环境的新一代智能运维（AIOps）体系。你将深度参与从问题定义到算法落地的完整闭环，推动AI技术在稳定性保障、故障诊断、效率提升等关键场景中的创新应用。
主要职责包括但不限于：
1. 业务需求分析与算法方案设计
○ 深入理解阿里云大数据与AI平台在稳定性、性能优化、运维提效等方面的运维痛点，识别核心问题场景，明确算法目标与交付边界；
○ 将复杂运维场景抽象为可建模的问题，结合业界前沿技术完成技术选型与算法方案设计，相关技术包括但不限于：
■ 多维度时间序列异常检测与预测
■ 日志模式提取、聚类与异常识别
■ 关联分析和因果推断
■ 大模型微调（Fine-tuning）与检索增强生成（RAG）
■ 大模型智能体
2. 算法工程化实现与系统建设
○ 按照团队的算法开发工程规范，完成端到端的算法工程化落地，包括数据清洗、特征工程、模型训练与推理流程的设计与开发等；
○ 设计并建立算法服务的SLA体系，涵盖准确性、响应延迟、稳定性及可扩展性，支撑高并发、低延迟的线上服务能力；
○ 将算法能力集成至智能运维平台，并进行相关产品能力建设，支撑包括变更风险巡检、根因定位、智能答疑等功能模块。
3. 算法评估与调优
○ 构建科学的测试验证机制量化评估算法效果；建立离线评测与在线A/B测试联动机制，驱动算法持续优化与产品价值验证；
○ 根据实际运行反馈与性能瓶颈，通过参数调优、模型轻量化、计算逻辑重构等方式提升算法效率与准确率。
4. 前沿技术探索与体系建设
○ 密切跟踪AIOps、时间序列分析、大模型智能体、强化学习、因果推断、知识图谱等领域的最新进展，积极探索AI新技术在运维场景中的落地可能性，助力打造下一代自治云平台。","1、硕士研究生及以上学历，计算机、软件工程、人工智能等相关专业，5年及以上算法研发经验。
2、具备扎实的机器学习、深度学习算法和统计学基础，熟悉主流预训练模型，熟练掌握Pytorch/Tensorflow等框架。拥有优秀的编程能力，精通Python/Java等至少一门编程语言，具备从算法设计到高质量代码落地的全栈实现能力。理解LLM原理，具备微调、RAG、Agent应用构建的相关经验，熟悉Dify、Langchain等框架。
3、有智能运维（AIOps）领域项目经验者优先，包括时间序列异常检测、日志聚类分析、根因定位、变更风险预测等方向，具备多源异构数据（指标、日志、链路、事件）建模能力。
4、在CCF-A/B类会议（如NeurIPS、ICML、ACL、VLDB等）发表过相关论文者优先。
5、具备完整的算法项目主导经验，能够独立完成需求拆解、问题建模、算法选型、工程实现与上线部署全流程；具备良好的沟通和业务理解能力，能与产品和运维团队协同拆解场景、定义优先级，并对标业界领先实践，推动技术方案真正创造业务价值；对解决挑战性的问题充满激情，能持续参与核心代码研发，有效赋能初级同学，提升团队整体战斗力。",1,关雅轩(池轩),,2026 - 01 - 27,2026 - 04 - 10,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026012755f54a5c7ac9470483a06e78ac426caf&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-阿里云百炼产品专家-北京/杭州,,云智能集团,"中国-北京-北京,中国-浙江-杭州",硕士,三年以上,P7,"负责阿里云百炼平台产品设计和开发建设工作：
1. 需求分析与产品规划
（1）深入调研开发者、内外部企业客户及行业需求，深入理解各种模型能力和云服务，定义大模型开发平台的核心功能（如模型服务、工作流、Prompt工程、RAG、Agent框架等），并可以基于开发平台构建 AI 效果领先的垂直场景/行业解决方案。
（2）制定所负责产品或模块的 Roadmap，平衡技术前瞻性与产品落地节奏。
2. 产品全生命周期管理
（1）主导功能设计，输出PRD、原型及交互文档，推动算法、工程团队高效交付，协同运营、销售等团队应对和总结客户需求。
（2）负责产品上线后的迭代优化，基于用户反馈和数据洞察持续提升产品体验。
3. 跨团队协作与生态建设
（1）协同内部销售、运营、研发团队，以及外部开发者和客户，推动阿里云百炼平台实现业务目标和开发者生态建设，提升平台活跃度与开发者粘性。
4. 行业洞察与竞争分析
（1）跟踪国内外大模型平台产品动态，制定差异化竞争策略。","1. 硕士及以上学历，泛计算机专业，3年以上云计算产品/AI领域产品经验，有开发者工具、AI平台类产品产品经验者优先。
2. 了解大模型以及Agent的基本技术栈，对AI技术有浓厚兴趣，具备一定的技术理解能力。
3. 了解云计算的基本技术栈和云计算产品的功能特性和使用方法。
4. 具备复杂需求抽象能力，熟练使用产品经理相关工具，有从0到1落地产品，或负责重要同类产品或重要模块的成功案例。",1,黄雪纯(夏知),,2026 - 01 - 26,2026 - 04 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260126169d7f09428844bc854e9ddfc89f2efd&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-产品专家/高级产品专员-大模型应用开发平台,,云智能集团,"中国-北京-北京,中国-浙江-杭州",本科,三年以上,P6,"1. 百炼移动端 ＆ 应用广场设计：
（1）设计百炼移动端 & 应用广场核心功能：模板体验、用户路径，搜索推荐、应用部署对接流程等，基于场景、行业理解设计高质量的模板分类、标签体系，降低企业及开发者使用门槛。
（2）制定应用上架标准与审核机制（包括功能、安全合规、效果基线、发布流程等），建立应用质量分级体系（如官方认证/开发者自营），建立数据反馈体系。
（3）设计AI体验中心，基于应用广场的供给，提供一站式大模型服务与应用体验中心，通过合理的动线设计，提高新用户转化率。
2. 应用开发者生态建设与运营：
（1）协同运营团队，设计开发者增长策略（如黑客松赛事、流量扶持计划、分成激励机制），解决应用分发闭环问题，吸引优质大模型应用入驻。
（2）构建开发者支持能力（文档/教程/沙盒环境/版本管理/收益体系），提升应用开发效率与上架转化率。
（3）设计应用商店商业模式，平衡开发者收益与平台成本，设计合理的治理规则，确保应用商店有序发展，构建开发者生态，提高活跃度。
3. 应用生态价值挖掘：
（1）分析应用调用、付费、运营数据，挖掘高潜力应用方向，反向驱动平台开发能力迭代，将头部应用打包为行业标准化产品。
（2）配合运营建设高质量一方应用，呈现大模型服务及应用的能力及场景，丰富市场供给。
4. 行业洞察与竞争分析：
（1）跟踪国内外多模态交互类产品动态，制定技术对标与差异化方案。","1. 三年以上产品经验，有计算机、人工智能相关专业背景优先，有开源社区、AI开放平台、AI应用商店或SaaS市场建设经验者优先。
2. 熟悉大模型应用开发流程（Agent设计/RAG增强/工具调用），了解主流框架和核心能力，具备优秀的解决方案撰写能力，最大化将产品技术能力转换为业务价值。
3. 熟悉平台治理机制设计（如应用审核、开发者收益、开发者入驻流程及体系等），对开发者数量和活跃度指标负责。
4. 具备数据驱动思维，能通过用户行为、应用数据分析优化产品策略，具备一定的创意能力，提高应用广场的差异化和特色。",1,黄雪纯(夏知),,2026 - 01 - 26,2026 - 04 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601266a15e388e9da415aa2059dfc81d1661c&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-大模型高级产品解决方案架构师-上海,,云智能集团,中国-上海-上海,本科,五年以上,P7,"1. 进行市场洞察和竞对分析
1) 洞察和产品相关的市场机会、市场容量和竞争格局。
2) 分析竞对产品核心指标、市场策略和市场价格。
3) 快速捕捉市场热点和客户业务痛点，挖掘产品商机，快速推动落地，形成领先竞争力。
2. 产品商机判断和深度技术交流
1) 作为产品线代表，参与商业策略设计和商机判断。
2) 对复杂项目需求，协同销售团队与客户进行深度技术交流，结合对行业发展方向和技术变革方向的洞察，就具体技术场景引导客户关键决策人决策，促进商机转化。
3. 产品方案设计和技术支持
1) 对复杂项目，理解客户的业务和功能性/非功能型需求、性能及可用性需求，基于客户场景，提供有技术竞争力和可行性、成本优势的产品组合方案，并在产品选型/POC/报价配置时， 提供技术支持。
2) 提炼基于客户业务场景的关键技术指标，形成领先控标项，在POC、winback等业务活动中落地验证。
3) 复杂项目推进方案跨团队协同优化，成本，性能，稳定性等多维度提升解决方案的竞争力。
4) 探索创新产品的方案和场景，推动新产品快速市场覆盖，保障产品创新活力。
5) 对大客户提供售后的关键技术答疑，用技术推动业务发展。
4. 产品设计和优化支持
1) 通过对行业、场景的深入了解，参与产品的重大功能设计、定价设计、用户体验设计，协助产品在行业/场景下保持领先性。
2) 识别并精准提炼客户的共性需求和痛点，反哺产品设计，推动产品改进和多产品融合、新产品和功能孵化。
5. 最佳实践沉淀和赋能
1) 沉淀面向细分场景的最佳实践，选择性输出IaC代码，通过项目实践总结标杆成功案例，提炼共性模块、统一标准化能力，加速产品方案规模化复制。
2) 提炼产品优势功能性能参数，并针对性的设计测试用例，放大产品和技术的影响力，沉淀基于测试用例、测试方案的解决方案竞争力。
3) 参与产品GTM材料编写、与伙伴共创联合解决方案、对销售团队和生态伙伴赋能。","1. 本科及以上学历，3年及以上工作经验。
2. 有大模型工程项目落地经验，研发或工程化落地大模型应用产品，或提供过落地的解决方案。
3. 具备良好沟通表达能力，能与客户高质量对话，抗压能力和执行力强。
4. 逻辑良好，能够在工作中挖掘方式方法优化的机会以及创新性思考方式，能反思复盘，主动思考，乐于分享。
5、 有互联网/游戏/短漫剧工作经验优先。",2,蔡廷浩(闻卿),,2026 - 01 - 29,2026 - 04 - 25,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601260c29b9830a0f406f8c42605a10d8888c&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-解决方案架构师(AIGC方向)-杭州,,云智能集团,中国-浙江-杭州,本科,五年以上,P7,"推动大模型产品商业化
1、大模型商机判断和深度技术交流：
（1）赋能前端业务线/行业线，推动大模型场景业务快速拓展。
（2）作为大模型产品团队代表，支撑前线业务线开展商机判断和选择。
（3）针对复杂项目需求，协同前后团队与客户进行深度技术交流，促进商机转化，为结果负责。
2、产品解决方案设计与规模推广：
（1）支持行业/区域的市场洞察，理解行业客户的业务和功能性/非功能型需求，基于客户场景，提供有技术竞争力和成本优势的产品组合方案，并在产品选型/配置报价/招投标过程中， 提供技术支持。
（2）提炼具有客户价值的关键技术指标，形成领先控标项，在POC、winback等业务活动中落地验证。
（3）跟进产品方案的落地效果，持续优化产品方案。
（4）沉淀产品解决方案的最佳实践，通过项目实践总结标杆案例，加速产品方案规模化复制。
（5）探索创新产品的方案和场景，推动新产品快速市场覆盖。
3、产品改进：
（1）深入调研客户需求，将合理需求准确地反馈到产品研发团队，负责改进需求在产品中的实现效果验收，帮助部门大模型/智能化相关产品的持续发展。
4. 市场洞察：
（1）洞察产品的市场机会、市场容量和竞争格局，捕捉机会，找到方向并能影响前线和产研快速推动落地。","1、本科及以上学历，5年及以上工作经验。
2、有大模型工程项目落地经验，研发或工程化落地大模型应用产品，或提供过落地的解决方案。
3、具备良好沟通表达能力，能与客户高质量对话，抗压能力和执行力强。
4、逻辑良好，能够在工作中挖掘方式方法优化的机会以及创新性思考方式，能反思复盘，主动思考，乐于分享。
5、有互联网/游戏/AIGC/行业工作经验优先。",1,蔡廷浩(闻卿),,2026 - 01 - 29,2026 - 04 - 25,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601262c596f5223cd4dfdb63d56d142f66e2c&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-IDC成本管理专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1、目标成本管理
• 负责建设项目各阶段目标成本和分期合约规划编制
• 负责建设各项目年度预算编制
2、招采配合
• 负责招标前编制招标清单预算编制及审核，招标后对投标清单进行审核及分析
3、过程管理
• 负责建设项目全过程成本管理（包括但不限于变更估价、签证处理、索赔处理、材料设备价格审核、进度款审核等工作）
• 负责动态成本监控，定期对数据中心工程成本执行情况与管理状态进行分析，对超出预期成本变动范围的情况启动预警程序，并提出成本管控措施
• 负责资金计划监控，负责编制项目资金计划和年度资金计划，项目过程对资金动态进行复盘分析
4、结算审核
• 负责工程竣工结算审核及结算谈判
5、标准制定与业务统筹
• 负责制定业务规则、业务标准、管理目标，并监督执行规则、标准、目标的执行情况
• 负责组织成本经理对各类业务数据进行梳理和沉淀，负责编制建设标准、标准成本、标准清单、标准定额编制、评审、审批及发布
• 统筹业务管理，针对全国数据中心工程成本管理出现的重大业务问题，制定统一解决方案，并监督数据中心工程成本经理实施提升业务水平，为项目管理中心赋能
6、信息化建设
• 负责业务管理平台的系统建设，建立成本信息监控中心，实现成本合约管理信息化
• 负责数据管理平台的系统建设，推动成本业务数字化，收集分析整理业务数据形成企业数字资产，组织建设数字化系统快速测算工具，支持业务快速发展
• 根据业务管理中心要求配合对成本数据进行收集整理，并上传到信息化系统","• 7年以上成本管理经验，具有数据中心行业成本体系建设履历优先
• 具备独立管理项目的能力：能够独立负责项目预算编制、成本控制、工程量核算、招投标管理等方面的能力。
• 具备较强的风险管理能力：能够识别和评估项目实施过程中的风险因素，并采取相应措施进行风险控制。
• 具备项目管理能力：能够合理安排项目的各种造价资源和工作，保证项目按时按质完成。
• 熟练掌握成本管理和分析的方法和技巧，能够准确评估数据中心工程成本；
• 能在项目实施过程中发现和解决成本偏差问题，并提出相应的经济性建议；
• 具备良好的沟通能力和团队协作能力：能够与各团队及参见单位进行有效的沟通和协调；
• 具备制定业务标准能力：能组织编制、修订IDC成本合约管理制度、工作指引、标准模版、工作表单等；
• 具备质量管理能力：能根据相关管理制度和工作要点对成本造价业务质量进行管理；",1,蔡廷浩(闻卿),,2026 - 01 - 26,2026 - 04 - 26,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601265711078b4e83424cabce410753f81f3a&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
